
*******   STEP   1      *** NEFF=10 CALCULATION                
    1   0.154E+01   0.433E+00   0.697E+00
    2   0.240E+00   0.183E+01   0.742E+00
    3   0.916E-01   0.172E+01   0.433E+00
    4   0.410E-01   0.174E+01   0.210E+00
    5   0.302E-01   0.155E+01   0.858E-01
    6   0.361E-01   0.834E+00   0.441E-01
    7   0.313E-01   0.448E+00   0.298E-01
    8   0.164E-01   0.280E+00   0.147E-01
    9   0.769E-02   0.156E+00   0.705E-02
   10   0.361E-02   0.751E-01   0.332E-02
   11   0.179E-02   0.340E-01   0.155E-02
   12   0.923E-03   0.163E-01   0.777E-03
   13   0.468E-03   0.813E-02   0.427E-03
   14   0.467E-03   0.390E-02   0.737E-04
   15   0.207E-03   0.325E-03   0.158E-03

*******   STEP   2      *** NEFF=10 CALCULATION                
    1   0.268E-02   0.124E-02   0.944E-03
    2   0.458E-03   0.721E-02   0.446E-03
    3   0.494E-03   0.368E-02   0.240E-03
    4   0.195E-03   0.123E-02   0.690E-03
    5   0.191E-03   0.147E-02   0.707E-03
    6   0.300E-03   0.203E-02   0.332E-03
    7   0.251E-03   0.235E-02   0.407E-03
    8   0.140E-03   0.225E-02   0.706E-03
    9   0.179E-03   0.145E-02   0.565E-03
   10   0.218E-03   0.776E-03   0.167E-03

*******   STEP   3      *** NEFF=10 CALCULATION                
    1   0.273E-02   0.384E-02   0.962E-03
    2   0.531E-03   0.103E-01   0.489E-03
    3   0.581E-03   0.453E-02   0.531E-04
    4   0.226E-03   0.305E-03   0.216E-03

*******   STEP   4      *** NEFF=10 CALCULATION                
    1   0.259E-02   0.142E-02   0.641E-03
    2   0.309E-03   0.599E-02   0.251E-03
    3   0.394E-03   0.231E-02   0.863E-04
    4   0.131E-03   0.451E-03   0.337E-03

*******   STEP   5      *** NEFF=10 CALCULATION                
    1   0.255E-02   0.163E-02   0.762E-03
    2   0.341E-03   0.656E-02   0.308E-03
    3   0.408E-03   0.206E-02   0.198E-03
    4   0.128E-03   0.120E-02   0.295E-03
    5   0.684E-04   0.220E-02   0.188E-03
    6   0.128E-03   0.163E-02   0.123E-03
    7   0.100E-03   0.663E-03   0.212E-03

*******   STEP   6      *** NEFF=10 CALCULATION                
    1   0.264E-02   0.243E-02   0.630E-03
    2   0.334E-03   0.612E-02   0.304E-03
    3   0.397E-03   0.251E-02   0.540E-04
    4   0.140E-03   0.303E-03   0.346E-03

*******   STEP   7      *** NEFF=10 CALCULATION                
    1   0.251E-02   0.199E-02   0.510E-03
    2   0.267E-03   0.454E-02   0.187E-03
    3   0.304E-03   0.136E-02   0.113E-03
    4   0.934E-04   0.913E-03   0.125E-03

*******   STEP   8      *** NEFF=10 CALCULATION                
    1   0.250E-02   0.173E-02   0.483E-03
    2   0.265E-03   0.454E-02   0.181E-03
    3   0.308E-03   0.132E-02   0.796E-04
    4   0.100E-03   0.978E-03   0.193E-03

*******   STEP   9      *** NEFF=10 CALCULATION                
    1   0.247E-02   0.196E-02   0.487E-03
    2   0.292E-03   0.405E-02   0.183E-03
    3   0.297E-03   0.119E-02   0.111E-03
    4   0.996E-04   0.126E-02   0.143E-03
    5   0.933E-04   0.156E-02   0.177E-03
    6   0.123E-03   0.120E-02   0.155E-03
    7   0.102E-03   0.679E-03   0.449E-04

*******   STEP  10      *** NEFF=10 CALCULATION                
    1   0.252E-02   0.230E-02   0.528E-03
    2   0.317E-03   0.485E-02   0.216E-03
    3   0.348E-03   0.151E-02   0.878E-04
    4   0.111E-03   0.971E-03   0.280E-03

*******   STEP  11      *** NEFF=10 CALCULATION                
    1   0.241E-02   0.236E-02   0.583E-03
    2   0.385E-03   0.338E-02   0.225E-03
    3   0.296E-03   0.158E-02   0.218E-03
    4   0.127E-03   0.196E-02   0.198E-03
    5   0.103E-03   0.167E-02   0.102E-03
    6   0.104E-03   0.945E-03   0.172E-03

*******   STEP  12      *** NEFF=10 CALCULATION                
    1   0.246E-02   0.264E-02   0.545E-03
    2   0.381E-03   0.403E-02   0.220E-03
    3   0.322E-03   0.153E-02   0.177E-03
    4   0.126E-03   0.178E-02   0.149E-03
    5   0.108E-03   0.174E-02   0.161E-03
    6   0.124E-03   0.118E-02   0.190E-03
    7   0.104E-03   0.626E-03   0.108E-03

*******   STEP  13      *** NEFF=10 CALCULATION                
    1   0.245E-02   0.264E-02   0.527E-03
    2   0.409E-03   0.405E-02   0.239E-03
    3   0.338E-03   0.171E-02   0.155E-03
    4   0.136E-03   0.176E-02   0.164E-03
    5   0.121E-03   0.171E-02   0.224E-03
    6   0.142E-03   0.127E-02   0.197E-03
    7   0.118E-03   0.745E-03   0.488E-04

*******   STEP  14      *** NEFF=10 CALCULATION                
    1   0.243E-02   0.257E-02   0.519E-03
    2   0.440E-03   0.390E-02   0.253E-03
    3   0.341E-03   0.193E-02   0.164E-03
    4   0.151E-03   0.192E-02   0.175E-03
    5   0.133E-03   0.174E-02   0.228E-03
    6   0.146E-03   0.127E-02   0.187E-03
    7   0.118E-03   0.744E-03   0.366E-04

*******   STEP  15      *** NEFF=10 CALCULATION                
    1   0.241E-02   0.264E-02   0.528E-03
    2   0.479E-03   0.378E-02   0.273E-03
    3   0.346E-03   0.221E-02   0.185E-03
    4   0.168E-03   0.215E-02   0.166E-03
    5   0.141E-03   0.178E-02   0.211E-03
    6   0.143E-03   0.123E-02   0.186E-03
    7   0.113E-03   0.702E-03   0.445E-04

*******   STEP  16      *** NEFF=10 CALCULATION                
    1   0.239E-02   0.277E-02   0.549E-03
