  STRAIN   AVACS   MODE1   MODE2   MODE3
   0.000  13.000   0.388   0.125   0.415
   0.010  13.000   0.383   0.127   0.417
   0.020  14.000   0.379   0.129   0.418
   0.030  14.000   0.375   0.131   0.420
   0.040  14.000   0.370   0.133   0.422
   0.050  14.000   0.366   0.135   0.423
   0.060  14.000   0.361   0.137   0.425
   0.070  14.000   0.356   0.139   0.426
   0.080  14.000   0.351   0.142   0.427
   0.090  14.000   0.346   0.144   0.429
   0.100  14.000   0.341   0.146   0.430
   0.110  14.000   0.336   0.148   0.431
   0.120  14.000   0.331   0.150   0.432
   0.130  14.000   0.326   0.153   0.434
   0.140  14.000   0.320   0.155   0.435
   0.150  14.000   0.315   0.157   0.436
   0.160  14.000   0.310   0.159   0.437
   0.170  14.000   0.304   0.162   0.437
   0.180  14.000   0.299   0.164   0.438
   0.190  13.000   0.293   0.166   0.439
   0.200  13.000   0.288   0.168   0.440
   0.210  12.000   0.283   0.170   0.440
   0.220  12.000   0.277   0.173   0.441
   0.230  12.000   0.272   0.175   0.441
   0.240  12.000   0.267   0.177   0.442
   0.250  12.000   0.261   0.179   0.442
   0.260  12.000   0.256   0.181   0.442
   0.270  12.000   0.251   0.183   0.443
   0.280  12.000   0.246   0.185   0.443
   0.290  12.000   0.241   0.187   0.443
   0.300  12.000   0.236   0.189   0.443
   0.310  12.000   0.231   0.191   0.443
   0.320  12.000   0.226   0.193   0.443
   0.330  12.000   0.221   0.195   0.442
   0.340  11.000   0.216   0.197   0.442
   0.350  10.000   0.211   0.199   0.442
   0.360  10.000   0.207   0.200   0.442
   0.370  10.000   0.202   0.202   0.441
   0.380  10.000   0.198   0.204   0.441
   0.390  10.000   0.194   0.206   0.440
   0.400  10.000   0.189   0.207   0.440
   0.410  10.000   0.185   0.209   0.439
   0.420  10.000   0.181   0.210   0.439
   0.430  10.000   0.177   0.212   0.438
   0.440  10.000   0.174   0.213   0.437
   0.450  10.000   0.170   0.214   0.437
   0.460  10.000   0.166   0.216   0.436
   0.470  10.000   0.163   0.217   0.435
   0.480  10.000   0.159   0.218   0.434
   0.490  10.000   0.156   0.219   0.433
   0.500  10.000   0.153   0.220   0.432
