  STRAIN   AVACS   MODE1   MODE2   MODE3   MODE4
   0.000   4.000   0.007   0.000   0.000   0.065
   0.010   4.000   0.007   0.000   0.000   0.065
   0.020   4.000   0.007   0.000   0.000   0.066
   0.030   4.000   0.007   0.000   0.000   0.067
   0.040   4.000   0.007   0.000   0.000   0.068
   0.050   4.000   0.007   0.000   0.000   0.069
   0.060   4.000   0.007   0.000   0.000   0.070
   0.070   4.000   0.007   0.000   0.000   0.071
   0.080   4.000   0.007   0.000   0.000   0.073
   0.090   4.000   0.007   0.000   0.000   0.074
   0.100   4.000   0.007   0.000   0.000   0.076
   0.110   4.000   0.007   0.000   0.000   0.078
   0.120   4.000   0.007   0.000   0.000   0.079
   0.130   4.000   0.007   0.000   0.000   0.081
   0.140   4.000   0.007   0.000   0.000   0.083
   0.150   4.000   0.007   0.000   0.000   0.085
   0.160   4.000   0.007   0.000   0.000   0.087
   0.170   4.000   0.007   0.000   0.000   0.090
   0.180   4.000   0.007   0.000   0.000   0.092
   0.190   4.000   0.007   0.000   0.000   0.094
   0.200   4.000   0.007   0.000   0.000   0.096
   0.210   4.000   0.008   0.000   0.000   0.099
   0.220   4.000   0.008   0.000   0.000   0.101
   0.230   4.000   0.008   0.000   0.000   0.104
   0.240   4.000   0.008   0.000   0.000   0.107
   0.250   4.000   0.008   0.000   0.000   0.109
   0.260   3.000   0.008   0.000   0.000   0.113
   0.270   3.000   0.008   0.000   0.000   0.115
   0.280   3.000   0.008   0.000   0.000   0.118
   0.290   3.000   0.008   0.000   0.000   0.121
   0.300   3.000   0.008   0.000   0.000   0.124
   0.310   3.000   0.009   0.000   0.000   0.127
   0.320   3.000   0.009   0.000   0.000   0.130
   0.330   3.000   0.009   0.000   0.000   0.133
   0.340   3.000   0.009   0.000   0.000   0.136
   0.350   3.000   0.009   0.000   0.000   0.139
   0.360   3.000   0.009   0.000   0.000   0.142
   0.370   3.000   0.009   0.000   0.000   0.145
   0.380   3.000   0.009   0.000   0.000   0.148
   0.390   3.000   0.010   0.000   0.000   0.151
   0.400   3.000   0.010   0.000   0.000   0.154
   0.410   3.000   0.010   0.000   0.000   0.157
   0.420   3.000   0.010   0.000   0.000   0.160
   0.430   3.000   0.010   0.000   0.000   0.163
   0.440   3.000   0.010   0.000   0.000   0.166
   0.450   3.000   0.011   0.000   0.000   0.169
   0.460   3.000   0.011   0.000   0.000   0.171
   0.470   3.000   0.011   0.000   0.000   0.174
   0.480   3.000   0.011   0.000   0.000   0.177
   0.490   3.000   0.011   0.000   0.000   0.180
   0.500   3.000   0.012   0.000   0.000   0.183
