          Evm          Svm            E11          E22          E33          E23          E13          E12         SDEV11       SDEV22       SDEV33       SDEV23       SDEV13       SDEV12      TEMP
  0.00000E+00  0.11359E+03    0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00    0.60040E+02  0.92698E+01 -0.69310E+02 -0.19956E+00  0.50557E+00 -0.72914E+01      298.00
  0.11388E-01  0.11345E+03    0.10000E-01  0.55511E-18 -0.10000E-01  0.00000E+00  0.00000E+00  0.00000E+00    0.60020E+02  0.91673E+01 -0.69187E+02 -0.18043E+00  0.48130E+00 -0.73126E+01      298.00
  0.22776E-01  0.11348E+03    0.20000E-01  0.11102E-17 -0.20000E-01  0.00000E+00  0.00000E+00  0.00000E+00    0.60080E+02  0.90913E+01 -0.69172E+02 -0.18606E+00  0.49496E+00 -0.73323E+01      298.00
  0.34166E-01  0.11345E+03    0.30000E-01  0.16653E-17 -0.30000E-01  0.00000E+00  0.00000E+00  0.00000E+00    0.60110E+02  0.90069E+01 -0.69117E+02 -0.17722E+00  0.48960E+00 -0.73431E+01      298.00
  0.45557E-01  0.11341E+03    0.40000E-01  0.22204E-17 -0.40000E-01  0.00000E+00  0.00000E+00  0.00000E+00    0.60118E+02  0.89576E+01 -0.69075E+02 -0.17074E+00  0.48896E+00 -0.73340E+01      298.00
  0.56950E-01  0.11336E+03    0.50000E-01  0.27756E-17 -0.50000E-01  0.00000E+00  0.00000E+00  0.00000E+00    0.60179E+02  0.88137E+01 -0.68993E+02 -0.16363E+00  0.48508E+00 -0.73483E+01      298.00
  0.68344E-01  0.11332E+03    0.60000E-01  0.33307E-17 -0.60000E-01  0.00000E+00  0.00000E+00  0.00000E+00    0.60181E+02  0.87786E+01 -0.68960E+02 -0.16122E+00  0.49186E+00 -0.72894E+01      298.00
  0.79740E-01  0.11332E+03    0.70000E-01  0.38858E-17 -0.70000E-01  0.00000E+00  0.00000E+00  0.00000E+00    0.60228E+02  0.87040E+01 -0.68932E+02 -0.15554E+00  0.49242E+00 -0.72734E+01      298.00
  0.91138E-01  0.11333E+03    0.80000E-01  0.44409E-17 -0.80000E-01  0.00000E+00  0.00000E+00  0.00000E+00    0.60272E+02  0.86383E+01 -0.68910E+02 -0.14984E+00  0.49453E+00 -0.72766E+01      298.00
  0.10254E+00  0.11331E+03    0.90000E-01  0.49960E-17 -0.90000E-01  0.00000E+00  0.00000E+00  0.00000E+00    0.60315E+02  0.85577E+01 -0.68873E+02 -0.14362E+00  0.49423E+00 -0.72200E+01      298.00
  0.11394E+00  0.11332E+03    0.10000E+00  0.55511E-17 -0.10000E+00  0.00000E+00  0.00000E+00  0.00000E+00    0.60343E+02  0.85214E+01 -0.68865E+02 -0.14066E+00  0.49883E+00 -0.72162E+01      298.00
  0.12534E+00  0.11335E+03    0.11000E+00  0.61062E-17 -0.11000E+00  0.00000E+00  0.00000E+00  0.00000E+00    0.60413E+02  0.84369E+01 -0.68850E+02 -0.13251E+00  0.50053E+00 -0.71797E+01      298.00
  0.13674E+00  0.11336E+03    0.12000E+00  0.66613E-17 -0.12000E+00  0.00000E+00  0.00000E+00  0.00000E+00    0.60456E+02  0.83914E+01 -0.68847E+02 -0.12778E+00  0.50547E+00 -0.71228E+01      298.00
  0.14815E+00  0.11338E+03    0.13000E+00  0.72164E-17 -0.13000E+00  0.00000E+00  0.00000E+00  0.00000E+00    0.60504E+02  0.83394E+01 -0.68844E+02 -0.12200E+00  0.50910E+00 -0.70665E+01      298.00
  0.15956E+00  0.11341E+03    0.14000E+00  0.77716E-17 -0.14000E+00  0.00000E+00  0.00000E+00  0.00000E+00    0.60557E+02  0.82866E+01 -0.68843E+02 -0.11574E+00  0.51232E+00 -0.70088E+01      298.00
  0.17097E+00  0.11344E+03    0.15000E+00  0.83267E-17 -0.15000E+00  0.00000E+00  0.00000E+00  0.00000E+00    0.60612E+02  0.82353E+01 -0.68847E+02 -0.10924E+00  0.51554E+00 -0.69474E+01      298.00
  0.18238E+00  0.11347E+03    0.16000E+00  0.88818E-17 -0.16000E+00  0.00000E+00  0.00000E+00  0.00000E+00    0.60668E+02  0.81872E+01 -0.68856E+02 -0.10263E+00  0.51901E+00 -0.68807E+01      298.00
  0.19380E+00  0.11351E+03    0.17000E+00  0.94369E-17 -0.17000E+00  0.00000E+00  0.00000E+00  0.00000E+00    0.60726E+02  0.81435E+01 -0.68869E+02 -0.95969E-01  0.52287E+00 -0.68076E+01      298.00
  0.20521E+00  0.11354E+03    0.18000E+00  0.99920E-17 -0.18000E+00  0.00000E+00  0.00000E+00  0.00000E+00    0.60752E+02  0.81464E+01 -0.68898E+02 -0.95795E-01  0.53211E+00 -0.67036E+01      298.00
  0.21663E+00  0.11357E+03    0.19000E+00  0.10547E-16 -0.19000E+00  0.00000E+00  0.00000E+00  0.00000E+00    0.60805E+02  0.81009E+01 -0.68906E+02 -0.88286E-01  0.53554E+00 -0.66167E+01      298.00
  0.22805E+00  0.11361E+03    0.20000E+00  0.11102E-16 -0.20000E+00  0.00000E+00  0.00000E+00  0.00000E+00    0.60856E+02  0.80711E+01 -0.68928E+02 -0.81858E-01  0.54088E+00 -0.65201E+01      298.00
  0.23948E+00  0.11366E+03    0.21000E+00  0.11657E-16 -0.21000E+00  0.00000E+00  0.00000E+00  0.00000E+00    0.60909E+02  0.80454E+01 -0.68955E+02 -0.75338E-01  0.54644E+00 -0.64188E+01      298.00
  0.25090E+00  0.11371E+03    0.22000E+00  0.12212E-16 -0.22000E+00  0.00000E+00  0.00000E+00  0.00000E+00    0.60962E+02  0.80243E+01 -0.68986E+02 -0.68765E-01  0.55228E+00 -0.63125E+01      298.00
  0.26233E+00  0.11377E+03    0.23000E+00  0.12768E-16 -0.23000E+00  0.00000E+00  0.00000E+00  0.00000E+00    0.61014E+02  0.80075E+01 -0.69022E+02 -0.62118E-01  0.55834E+00 -0.62014E+01      298.00
