
*******   STEP   1      *** NEFF=10 CALCULATION                
*******   STEP  18      *** NEFF=10 CALCULATION                
    1   0.384E-02   0.361E-02   0.260E-02
    2   0.164E-02   0.157E-01   0.199E-02
    3   0.139E-02   0.967E-02   0.860E-03
    4   0.376E-03   0.435E-02   0.598E-03
    5   0.321E-03   0.237E-02   0.325E-03
    6   0.196E-03   0.102E-02   0.401E-03
    7   0.171E-03   0.102E-02   0.360E-03
    8   0.178E-03   0.107E-02   0.246E-03
    9   0.119E-03   0.782E-03   0.152E-03

*******   STEP  19      *** NEFF=10 CALCULATION                
    1   0.406E-02   0.395E-02   0.279E-02
    2   0.177E-02   0.157E-01   0.204E-02
    3   0.148E-02   0.972E-02   0.871E-03
    4   0.362E-03   0.450E-02   0.653E-03
    5   0.323E-03   0.249E-02   0.342E-03
    6   0.215E-03   0.106E-02   0.420E-03
    7   0.180E-03   0.108E-02   0.394E-03
    8   0.182E-03   0.113E-02   0.260E-03
    9   0.124E-03   0.821E-03   0.157E-03

*******   STEP  20      *** NEFF=10 CALCULATION                
    1   0.409E-02   0.406E-02   0.277E-02
    2   0.179E-02   0.154E-01   0.202E-02
    3   0.149E-02   0.955E-02   0.882E-03
    4   0.372E-03   0.451E-02   0.649E-03
    5   0.327E-03   0.252E-02   0.325E-03
    6   0.208E-03   0.108E-02   0.416E-03
    7   0.173E-03   0.108E-02   0.405E-03
    8   0.179E-03   0.113E-02   0.258E-03
    9   0.124E-03   0.811E-03   0.150E-03

*******   STEP  21      *** NEFF=10 CALCULATION                
    1   0.412E-02   0.418E-02   0.274E-02
    2   0.180E-02   0.150E-01   0.201E-02
    3   0.150E-02   0.936E-02   0.893E-03
    4   0.383E-03   0.451E-02   0.643E-03
    5   0.332E-03   0.254E-02   0.306E-03
    6   0.199E-03   0.110E-02   0.413E-03
    7   0.166E-03   0.108E-02   0.414E-03
    8   0.176E-03   0.112E-02   0.253E-03
    9   0.123E-03   0.796E-03   0.144E-03

*******   STEP  22      *** NEFF=10 CALCULATION                
    1   0.413E-02   0.429E-02   0.271E-02
    2   0.181E-02   0.147E-01   0.198E-02
    3   0.151E-02   0.917E-02   0.900E-03
    4   0.393E-03   0.449E-02   0.633E-03
    5   0.335E-03   0.255E-02   0.285E-03
    6   0.189E-03   0.110E-02   0.411E-03
    7   0.158E-03   0.108E-02   0.423E-03
    8   0.172E-03   0.111E-02   0.245E-03
    9   0.122E-03   0.774E-03   0.143E-03

*******   STEP  23      *** NEFF=10 CALCULATION                
    1   0.414E-02   0.440E-02   0.266E-02
    2   0.182E-02   0.144E-01   0.195E-02
    3   0.151E-02   0.897E-02   0.905E-03
    4   0.403E-03   0.447E-02   0.617E-03
    5   0.339E-03   0.255E-02   0.264E-03
    6   0.178E-03   0.110E-02   0.409E-03
    7   0.149E-03   0.107E-02   0.426E-03
    8   0.168E-03   0.109E-02   0.234E-03
    9   0.120E-03   0.748E-03   0.146E-03

*******   STEP  24      *** NEFF=10 CALCULATION                
    1   0.415E-02   0.450E-02   0.262E-02
    2   0.183E-02   0.140E-01   0.192E-02
    3   0.151E-02   0.877E-02   0.907E-03
    4   0.413E-03   0.443E-02   0.598E-03
    5   0.342E-03   0.253E-02   0.243E-03
    6   0.166E-03   0.109E-02   0.407E-03
    7   0.140E-03   0.106E-02   0.426E-03
    8   0.163E-03   0.107E-02   0.221E-03
    9   0.117E-03   0.716E-03   0.153E-03

*******   STEP  25      *** NEFF=10 CALCULATION                
    1   0.415E-02   0.460E-02   0.257E-02
    2   0.183E-02   0.137E-01   0.188E-02
    3   0.151E-02   0.855E-02   0.906E-03
    4   0.421E-03   0.438E-02   0.576E-03
    5   0.344E-03   0.251E-02   0.222E-03
    6   0.155E-03   0.108E-02   0.404E-03
    7   0.130E-03   0.104E-02   0.423E-03
    8   0.158E-03   0.104E-02   0.206E-03
    9   0.114E-03   0.681E-03   0.162E-03

*******   STEP  26      *** NEFF=10 CALCULATION                
    1   0.414E-02   0.470E-02   0.251E-02
    2   0.184E-02   0.133E-01   0.185E-02
    3   0.151E-02   0.833E-02   0.901E-03
    4   0.429E-03   0.431E-02   0.552E-03
    5   0.346E-03   0.247E-02   0.202E-03
    6   0.144E-03   0.106E-02   0.399E-03
    7   0.121E-03   0.101E-02   0.416E-03
    8   0.152E-03   0.100E-02   0.190E-03
    9   0.110E-03   0.642E-03   0.172E-03

*******   STEP  27      *** NEFF=10 CALCULATION                
    1   0.413E-02   0.479E-02   0.246E-02
    2   0.184E-02   0.129E-01   0.181E-02
    3   0.150E-02   0.810E-02   0.892E-03
    4   0.437E-03   0.422E-02   0.526E-03
    5   0.348E-03   0.242E-02   0.183E-03
    6   0.133E-03   0.104E-02   0.392E-03
    7   0.111E-03   0.980E-03   0.405E-03

*******   STEP  28      *** NEFF=10 CALCULATION                
    1   0.410E-02   0.511E-02   0.242E-02
    2   0.184E-02   0.122E-01   0.174E-02
    3   0.148E-02   0.776E-02   0.964E-03
    4   0.429E-03   0.427E-02   0.572E-03
    5   0.346E-03   0.241E-02   0.244E-03
    6   0.136E-03   0.106E-02   0.541E-03
    7   0.117E-03   0.119E-02   0.503E-03
    8   0.160E-03   0.105E-02   0.158E-03
    9   0.113E-03   0.595E-03   0.329E-03

*******   STEP  29      *** NEFF=10 CALCULATION                
    1   0.409E-02   0.488E-02   0.233E-02
    2   0.182E-02   0.122E-01   0.172E-02
    3   0.148E-02   0.761E-02   0.841E-03
    4   0.913E-03   0.387E-02   0.598E-03
    5   0.326E-03   0.236E-02   0.610E-03
    6   0.197E-03   0.188E-02   0.455E-03
    7   0.298E-03   0.148E-02   0.498E-03
    8   0.249E-03   0.139E-02   0.504E-03
    9   0.167E-03   0.115E-02   0.275E-03
   10   0.122E-03   0.608E-03   0.243E-03

*******   STEP  30      *** NEFF=10 CALCULATION                
    1   0.415E-02   0.524E-02   0.236E-02
    2   0.186E-02   0.120E-01   0.170E-02
    3   0.150E-02   0.748E-02   0.838E-03
    4   0.912E-03   0.382E-02   0.559E-03
    5   0.321E-03   0.227E-02   0.545E-03
    6   0.184E-03   0.179E-02   0.436E-03
    7   0.283E-03   0.146E-02   0.487E-03
    8   0.239E-03   0.135E-02   0.452E-03
    9   0.159E-03   0.105E-02   0.216E-03
   10   0.106E-03   0.534E-03   0.256E-03

*******   STEP  31      *** NEFF=10 CALCULATION                
    1   0.412E-02   0.529E-02   0.230E-02
    2   0.185E-02   0.116E-01   0.166E-02
    3   0.148E-02   0.721E-02   0.816E-03
    4   0.907E-03   0.365E-02   0.484E-03
    5   0.324E-03   0.215E-02   0.468E-03
    6   0.155E-03   0.172E-02   0.401E-03
    7   0.258E-03   0.139E-02   0.441E-03
    8   0.224E-03   0.123E-02   0.386E-03
    9   0.147E-03   0.922E-03   0.170E-03

*******   STEP  32      *** NEFF=10 CALCULATION                
