  EPS  PHASE      AVAX1   AVAX2   AVAX3      SDAX1   SDAX2   SDAX3
  0.00     1      1.000   1.000   1.000      0.000   0.000   0.000
  0.02     1      1.009   1.011   0.980      0.001   0.001   0.001
  0.04     1      1.018   1.022   0.960      0.002   0.001   0.001
  0.06     1      1.027   1.034   0.941      0.002   0.002   0.002
  0.08     1      1.036   1.045   0.922      0.003   0.002   0.002
  0.10     1      1.045   1.057   0.904      0.004   0.003   0.003
  0.12     1      1.055   1.069   0.886      0.004   0.003   0.003
  0.14     1      1.064   1.080   0.868      0.005   0.004   0.004
  0.16     1      1.074   1.093   0.851      0.006   0.004   0.004
  0.18     1      1.083   1.105   0.833      0.006   0.005   0.005
  0.20     1      1.093   1.117   0.817      0.007   0.005   0.005
  0.22     1      1.102   1.130   0.800      0.008   0.005   0.006
  0.24     1      1.112   1.142   0.784      0.009   0.006   0.006
  0.26     1      1.122   1.155   0.769      0.009   0.006   0.007
  0.28     1      1.132   1.168   0.753      0.010   0.006   0.007
  0.30     1      1.142   1.181   0.738      0.010   0.007   0.008
  0.32     1      1.152   1.194   0.723      0.011   0.007   0.008
  0.34     1      1.162   1.208   0.709      0.012   0.007   0.009
  0.36     1      1.173   1.221   0.694      0.012   0.007   0.010
  0.38     1      1.183   1.235   0.680      0.013   0.008   0.010
  0.40     1      1.194   1.249   0.667      0.014   0.008   0.011
  0.42     1      1.205   1.263   0.653      0.014   0.008   0.011
  0.44     1      1.215   1.277   0.640      0.015   0.008   0.012
  0.46     1      1.226   1.291   0.627      0.015   0.008   0.012
  0.48     1      1.237   1.305   0.615      0.016   0.008   0.013
  0.50     1      1.248   1.320   0.602      0.017   0.009   0.013
  0.52     1      1.260   1.334   0.590      0.017   0.009   0.014
  0.54     1      1.271   1.349   0.578      0.018   0.009   0.014
  0.56     1      1.283   1.364   0.567      0.018   0.009   0.015
  0.58     1      1.294   1.379   0.555      0.019   0.009   0.015
  0.60     1      1.306   1.394   0.544      0.019   0.009   0.016
  0.62     1      1.318   1.410   0.533      0.020   0.009   0.016
  0.64     1      1.330   1.425   0.523      0.020   0.009   0.017
  0.66     1      1.342   1.441   0.512      0.021   0.009   0.017
  0.68     1      1.355   1.456   0.502      0.021   0.009   0.018
  0.70     1      1.367   1.472   0.492      0.022   0.009   0.018
  0.72     1      1.380   1.488   0.482      0.022   0.009   0.019
  0.74     1      1.393   1.505   0.472      0.022   0.009   0.019
  0.76     1      1.406   1.521   0.463      0.023   0.009   0.020
  0.78     1      1.419   1.537   0.453      0.023   0.010   0.020
  0.80     1      1.432   1.554   0.444      0.024   0.010   0.021
  0.82     1      1.446   1.571   0.435      0.024   0.010   0.021
  0.84     1      1.459   1.588   0.426      0.025   0.010   0.021
  0.86     1      1.473   1.605   0.418      0.025   0.010   0.022
  0.88     1      1.487   1.622   0.409      0.025   0.010   0.022
  0.90     1      1.501   1.639   0.401      0.026   0.010   0.023
  0.92     1      1.515   1.657   0.393      0.026   0.010   0.023
  0.94     1      1.529   1.675   0.385      0.026   0.010   0.023
  0.96     1      1.544   1.693   0.377      0.027   0.010   0.024
  0.98     1      1.559   1.711   0.370      0.027   0.010   0.024
  1.00     1      1.574   1.729   0.362      0.027   0.010   0.025
