          Evm          Svm            E11          E22          E33          E23          E13          E12         SDEV11       SDEV22       SDEV33       SDEV23       SDEV13       SDEV12      TEMP
  0.00000E+00  0.11534E+03    0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00    0.65750E+02  0.15673E+01 -0.67318E+02 -0.51520E+00  0.44615E+00 -0.23811E+01      298.00
  0.11537E-01  0.11531E+03    0.10000E-01  0.55511E-18 -0.10000E-01  0.00000E+00  0.00000E+00  0.00000E+00    0.65862E+02  0.13081E+01 -0.67170E+02 -0.52072E+00  0.48672E+00 -0.24132E+01      298.00
  0.23074E-01  0.11531E+03    0.20000E-01  0.11102E-17 -0.20000E-01  0.00000E+00  0.00000E+00  0.00000E+00    0.65963E+02  0.11064E+01 -0.67069E+02 -0.51848E+00  0.49738E+00 -0.24524E+01      298.00
  0.34611E-01  0.11529E+03    0.30000E-01  0.16653E-17 -0.30000E-01  0.00000E+00  0.00000E+00  0.00000E+00    0.66068E+02  0.87634E+00 -0.66944E+02 -0.51538E+00  0.50570E+00 -0.24908E+01      298.00
  0.46148E-01  0.11526E+03    0.40000E-01  0.22204E-17 -0.40000E-01  0.00000E+00  0.00000E+00  0.00000E+00    0.66191E+02  0.60033E+00 -0.66792E+02 -0.50565E+00  0.50293E+00 -0.25470E+01      298.00
  0.57686E-01  0.11531E+03    0.50000E-01  0.27756E-17 -0.50000E-01  0.00000E+00  0.00000E+00  0.00000E+00    0.66295E+02  0.44624E+00 -0.66742E+02 -0.50174E+00  0.50057E+00 -0.25728E+01      298.00
  0.69224E-01  0.11534E+03    0.60000E-01  0.33307E-17 -0.60000E-01  0.00000E+00  0.00000E+00  0.00000E+00    0.66427E+02  0.22022E+00 -0.66647E+02 -0.49926E+00  0.50667E+00 -0.26034E+01      298.00
  0.80761E-01  0.11538E+03    0.70000E-01  0.38858E-17 -0.70000E-01  0.00000E+00  0.00000E+00  0.00000E+00    0.66564E+02 -0.64117E-02 -0.66558E+02 -0.49631E+00  0.51124E+00 -0.26317E+01      298.00
  0.92298E-01  0.11544E+03    0.80000E-01  0.44409E-17 -0.80000E-01  0.00000E+00  0.00000E+00  0.00000E+00    0.66706E+02 -0.22968E+00 -0.66477E+02 -0.49365E+00  0.51582E+00 -0.26556E+01      298.00
  0.10384E+00  0.11551E+03    0.90000E-01  0.49960E-17 -0.90000E-01  0.00000E+00  0.00000E+00  0.00000E+00    0.66853E+02 -0.44847E+00 -0.66404E+02 -0.49149E+00  0.52109E+00 -0.26738E+01      298.00
  0.11537E+00  0.11558E+03    0.10000E+00  0.55511E-17 -0.10000E+00  0.00000E+00  0.00000E+00  0.00000E+00    0.67002E+02 -0.66214E+00 -0.66340E+02 -0.48986E+00  0.52727E+00 -0.26856E+01      298.00
  0.12691E+00  0.11561E+03    0.11000E+00  0.61062E-17 -0.11000E+00  0.00000E+00  0.00000E+00  0.00000E+00    0.67148E+02 -0.93026E+00 -0.66218E+02 -0.48778E+00  0.54359E+00 -0.26902E+01      298.00
  0.13844E+00  0.11563E+03    0.12000E+00  0.66613E-17 -0.12000E+00  0.00000E+00  0.00000E+00  0.00000E+00    0.67273E+02 -0.11572E+01 -0.66116E+02 -0.49418E+00  0.57768E+00 -0.26547E+01      298.00
  0.14998E+00  0.11573E+03    0.13000E+00  0.72164E-17 -0.13000E+00  0.00000E+00  0.00000E+00  0.00000E+00    0.67417E+02 -0.13372E+01 -0.66080E+02 -0.49497E+00  0.59037E+00 -0.26350E+01      298.00
  0.16152E+00  0.11583E+03    0.14000E+00  0.77716E-17 -0.14000E+00  0.00000E+00  0.00000E+00  0.00000E+00    0.67565E+02 -0.15206E+01 -0.66044E+02 -0.49407E+00  0.59903E+00 -0.26158E+01      298.00
  0.17305E+00  0.11593E+03    0.15000E+00  0.83267E-17 -0.15000E+00  0.00000E+00  0.00000E+00  0.00000E+00    0.67712E+02 -0.16995E+01 -0.66012E+02 -0.49287E+00  0.60720E+00 -0.25904E+01      298.00
  0.18459E+00  0.11604E+03    0.16000E+00  0.88818E-17 -0.16000E+00  0.00000E+00  0.00000E+00  0.00000E+00    0.67859E+02 -0.18729E+01 -0.65986E+02 -0.49147E+00  0.61521E+00 -0.25589E+01      298.00
  0.19612E+00  0.11615E+03    0.17000E+00  0.94369E-17 -0.17000E+00  0.00000E+00  0.00000E+00  0.00000E+00    0.68005E+02 -0.20408E+01 -0.65964E+02 -0.48984E+00  0.62309E+00 -0.25215E+01      298.00
  0.20765E+00  0.11627E+03    0.18000E+00  0.99920E-17 -0.18000E+00  0.00000E+00  0.00000E+00  0.00000E+00    0.68150E+02 -0.22029E+01 -0.65948E+02 -0.48794E+00  0.63083E+00 -0.24783E+01      298.00
  0.21919E+00  0.11638E+03    0.19000E+00  0.10547E-16 -0.19000E+00  0.00000E+00  0.00000E+00  0.00000E+00    0.68295E+02 -0.23590E+01 -0.65936E+02 -0.48574E+00  0.63843E+00 -0.24293E+01      298.00
  0.23072E+00  0.11651E+03    0.20000E+00  0.11102E-16 -0.20000E+00  0.00000E+00  0.00000E+00  0.00000E+00    0.68437E+02 -0.25090E+01 -0.65928E+02 -0.48324E+00  0.64588E+00 -0.23747E+01      298.00
  0.24225E+00  0.11678E+03    0.21000E+00  0.11657E-16 -0.21000E+00  0.00000E+00  0.00000E+00  0.00000E+00    0.68650E+02 -0.26164E+01 -0.66034E+02 -0.48425E+00  0.64477E+00 -0.23402E+01      298.00
  0.25379E+00  0.11676E+03    0.22000E+00  0.12212E-16 -0.22000E+00  0.00000E+00  0.00000E+00  0.00000E+00    0.68724E+02 -0.27948E+01 -0.65929E+02 -0.48126E+00  0.67773E+00 -0.22235E+01      298.00
  0.26532E+00  0.11689E+03    0.23000E+00  0.12768E-16 -0.23000E+00  0.00000E+00  0.00000E+00  0.00000E+00    0.68817E+02 -0.28340E+01 -0.65983E+02 -0.47257E+00  0.65580E+00 -0.21845E+01      298.00
  0.27685E+00  0.11701E+03    0.24000E+00  0.13323E-16 -0.24000E+00  0.00000E+00  0.00000E+00  0.00000E+00    0.68962E+02 -0.29888E+01 -0.65973E+02 -0.46631E+00  0.65721E+00 -0.21283E+01      298.00
  0.28838E+00  0.11713E+03    0.25000E+00  0.13878E-16 -0.25000E+00  0.00000E+00  0.00000E+00  0.00000E+00    0.69099E+02 -0.31239E+01 -0.65975E+02 -0.46150E+00  0.66288E+00 -0.20562E+01      298.00
  0.29992E+00  0.11726E+03    0.26000E+00  0.14433E-16 -0.26000E+00  0.00000E+00  0.00000E+00  0.00000E+00    0.69232E+02 -0.32470E+01 -0.65985E+02 -0.45704E+00  0.66984E+00 -0.19772E+01      298.00
  0.31145E+00  0.11739E+03    0.27000E+00  0.14988E-16 -0.27000E+00  0.00000E+00  0.00000E+00  0.00000E+00    0.69362E+02 -0.33616E+01 -0.66000E+02 -0.45248E+00  0.67712E+00 -0.18933E+01      298.00
  0.32298E+00  0.11744E+03    0.28000E+00  0.15543E-16 -0.28000E+00  0.00000E+00  0.00000E+00  0.00000E+00    0.69423E+02 -0.34220E+01 -0.66001E+02 -0.45419E+00  0.70271E+00 -0.17426E+01      298.00
  0.33451E+00  0.11763E+03    0.29000E+00  0.16098E-16 -0.29000E+00  0.00000E+00  0.00000E+00  0.00000E+00    0.69591E+02 -0.35476E+01 -0.66044E+02 -0.44405E+00  0.69617E+00 -0.16935E+01      298.00
  0.34604E+00  0.11769E+03    0.30000E+00  0.16653E-16 -0.30000E+00  0.00000E+00  0.00000E+00  0.00000E+00    0.69662E+02 -0.36136E+01 -0.66048E+02 -0.44345E+00  0.71403E+00 -0.15611E+01      298.00
  0.35757E+00  0.11780E+03    0.31000E+00  0.17208E-16 -0.31000E+00  0.00000E+00  0.00000E+00  0.00000E+00    0.69762E+02 -0.36872E+01 -0.66075E+02 -0.43784E+00  0.72130E+00 -0.14529E+01      298.00
  0.36910E+00  0.11792E+03    0.32000E+00  0.17764E-16 -0.32000E+00  0.00000E+00  0.00000E+00  0.00000E+00    0.69867E+02 -0.37664E+01 -0.66100E+02 -0.43167E+00  0.72637E+00 -0.13540E+01      298.00
  0.38063E+00  0.11803E+03    0.33000E+00  0.18319E-16 -0.33000E+00  0.00000E+00  0.00000E+00  0.00000E+00    0.69967E+02 -0.38421E+01 -0.66125E+02 -0.42492E+00  0.73059E+00 -0.12539E+01      298.00
  0.39216E+00  0.11813E+03    0.34000E+00  0.18874E-16 -0.34000E+00  0.00000E+00  0.00000E+00  0.00000E+00    0.70061E+02 -0.39107E+01 -0.66150E+02 -0.41799E+00  0.73473E+00 -0.11513E+01      298.00
  0.40369E+00  0.11824E+03    0.35000E+00  0.19429E-16 -0.35000E+00  0.00000E+00  0.00000E+00  0.00000E+00    0.70149E+02 -0.39723E+01 -0.66177E+02 -0.41090E+00  0.73873E+00 -0.10468E+01      298.00
  0.41522E+00  0.11838E+03    0.36000E+00  0.19984E-16 -0.36000E+00  0.00000E+00  0.00000E+00  0.00000E+00    0.70258E+02 -0.40207E+01 -0.66237E+02 -0.39469E+00  0.74086E+00 -0.92469E+00      298.00
  0.42675E+00  0.11838E+03    0.37000E+00  0.20539E-16 -0.37000E+00  0.00000E+00  0.00000E+00  0.00000E+00    0.70253E+02 -0.40033E+01 -0.66250E+02 -0.39736E+00  0.75127E+00 -0.76804E+00      298.00
  0.43828E+00  0.11850E+03    0.38000E+00  0.21094E-16 -0.38000E+00  0.00000E+00  0.00000E+00  0.00000E+00    0.70338E+02 -0.40428E+01 -0.66295E+02 -0.38448E+00  0.76127E+00 -0.63561E+00      298.00
  0.44981E+00  0.11857E+03    0.39000E+00  0.21649E-16 -0.39000E+00  0.00000E+00  0.00000E+00  0.00000E+00    0.70385E+02 -0.40544E+01 -0.66331E+02 -0.37244E+00  0.76559E+00 -0.51279E+00      298.00
  0.46134E+00  0.11851E+03    0.40000E+00  0.22204E-16 -0.40000E+00  0.00000E+00  0.00000E+00  0.00000E+00    0.70391E+02 -0.41336E+01 -0.66257E+02 -0.35590E+00  0.75643E+00 -0.39611E+00      298.00
  0.47287E+00  0.11871E+03    0.41000E+00  0.22760E-16 -0.41000E+00  0.00000E+00  0.00000E+00  0.00000E+00    0.70491E+02 -0.41042E+01 -0.66386E+02 -0.35300E+00  0.76971E+00 -0.29146E+00      298.00
  0.48441E+00  0.11862E+03    0.42000E+00  0.23315E-16 -0.42000E+00  0.00000E+00  0.00000E+00  0.00000E+00    0.70462E+02 -0.41470E+01 -0.66315E+02 -0.33769E+00  0.76368E+00 -0.15672E+00      298.00
  0.49594E+00  0.11876E+03    0.43000E+00  0.23870E-16 -0.43000E+00  0.00000E+00  0.00000E+00  0.00000E+00    0.70506E+02 -0.40696E+01 -0.66437E+02 -0.34548E+00  0.78946E+00 -0.11078E-01      298.00
  0.50747E+00  0.11873E+03    0.44000E+00  0.24425E-16 -0.44000E+00  0.00000E+00  0.00000E+00  0.00000E+00    0.70517E+02 -0.41330E+01 -0.66384E+02 -0.32011E+00  0.77148E+00  0.77906E-01      298.00
  0.51900E+00  0.11881E+03    0.45000E+00  0.24980E-16 -0.45000E+00  0.00000E+00  0.00000E+00  0.00000E+00    0.70529E+02 -0.40563E+01 -0.66473E+02 -0.30911E+00  0.77716E+00  0.22174E+00      298.00
  0.53053E+00  0.11881E+03    0.46000E+00  0.25535E-16 -0.46000E+00  0.00000E+00  0.00000E+00  0.00000E+00    0.70545E+02 -0.40943E+01 -0.66451E+02 -0.30105E+00  0.77709E+00  0.30798E+00      298.00
  0.54206E+00  0.11887E+03    0.47000E+00  0.26090E-16 -0.47000E+00  0.00000E+00  0.00000E+00  0.00000E+00    0.70558E+02 -0.40527E+01 -0.66505E+02 -0.29300E+00  0.78271E+00  0.42512E+00      298.00
