    epsacu     sdev1     sdev2     sdev3     sdev4     sdev5     ddev1     ddev2     ddev3     ddev4     ddev5
     0.000     0.254     0.455     0.009     0.004     0.021     0.391     0.695     0.012     0.005     0.034
     0.010     0.257     0.452     0.008     0.004     0.021     0.391     0.694     0.011     0.005     0.034
     0.020     0.261     0.451     0.008     0.004     0.021     0.390     0.693     0.011     0.005     0.035
     0.030     0.264     0.449     0.008     0.004     0.022     0.389     0.692     0.011     0.005     0.035
     0.040     0.268     0.447     0.008     0.004     0.022     0.388     0.691     0.011     0.005     0.036
     0.050     0.271     0.445     0.008     0.004     0.022     0.387     0.690     0.011     0.005     0.036
     0.060     0.275     0.444     0.008     0.004     0.023     0.386     0.688     0.011     0.005     0.037
     0.070     0.278     0.442     0.008     0.004     0.023     0.384     0.686     0.011     0.005     0.038
     0.080     0.282     0.441     0.008     0.004     0.024     0.382     0.684     0.011     0.005     0.038
     0.090     0.285     0.439     0.008     0.004     0.024     0.381     0.681     0.010     0.005     0.039
     0.100     0.288     0.438     0.007     0.004     0.025     0.379     0.679     0.010     0.005     0.040
     0.110     0.292     0.437     0.007     0.004     0.026     0.376     0.676     0.010     0.005     0.042
     0.120     0.295     0.435     0.007     0.004     0.027     0.374     0.673     0.010     0.005     0.043
     0.130     0.299     0.434     0.007     0.004     0.028     0.372     0.670     0.010     0.005     0.044
     0.140     0.302     0.433     0.007     0.004     0.029     0.369     0.666     0.010     0.005     0.045
     0.150     0.305     0.432     0.007     0.004     0.031     0.366     0.663     0.010     0.005     0.047
     0.160     0.309     0.431     0.007     0.004     0.032     0.363     0.659     0.010     0.005     0.048
     0.170     0.312     0.430     0.007     0.004     0.033     0.360     0.655     0.010     0.005     0.050
     0.180     0.315     0.430     0.007     0.004     0.035     0.357     0.651     0.010     0.005     0.052
     0.190     0.318     0.429     0.007     0.005     0.036     0.354     0.647     0.010     0.005     0.053
     0.200     0.321     0.428     0.007     0.005     0.038     0.350     0.642     0.009     0.005     0.055
     0.210     0.324     0.427     0.007     0.005     0.040     0.346     0.637     0.009     0.005     0.057
     0.220     0.328     0.427     0.007     0.005     0.042     0.343     0.632     0.009     0.005     0.058
     0.230     0.330     0.426     0.006     0.005     0.044     0.339     0.628     0.009     0.006     0.060
     0.240     0.333     0.426     0.006     0.005     0.046     0.336     0.623     0.009     0.006     0.062
     0.250     0.336     0.425     0.006     0.005     0.048     0.332     0.618     0.009     0.006     0.064
     0.260     0.339     0.425     0.006     0.005     0.050     0.328     0.613     0.009     0.006     0.066
     0.270     0.341     0.424     0.006     0.005     0.052     0.324     0.608     0.008     0.006     0.067
     0.280     0.344     0.424     0.006     0.005     0.054     0.320     0.602     0.008     0.006     0.069
     0.290     0.347     0.423     0.006     0.005     0.057     0.316     0.597     0.008     0.006     0.071
     0.300     0.349     0.423     0.006     0.005     0.059     0.311     0.592     0.008     0.006     0.073
     0.310     0.351     0.423     0.005     0.005     0.061     0.307     0.587     0.008     0.006     0.075
     0.320     0.354     0.422     0.005     0.005     0.064     0.303     0.581     0.007     0.007     0.076
     0.330     0.356     0.422     0.005     0.005     0.066     0.299     0.576     0.007     0.007     0.078
     0.340     0.358     0.422     0.005     0.005     0.069     0.294     0.571     0.007     0.007     0.080
     0.350     0.360     0.422     0.005     0.005     0.071     0.290     0.565     0.007     0.007     0.081
     0.360     0.362     0.422     0.005     0.006     0.074     0.285     0.559     0.006     0.007     0.083
     0.370     0.364     0.421     0.005     0.006     0.076     0.282     0.555     0.006     0.007     0.084
     0.380     0.366     0.421     0.005     0.006     0.079     0.277     0.549     0.006     0.007     0.086
     0.390     0.368     0.421     0.004     0.006     0.081     0.272     0.543     0.006     0.007     0.087
     0.400     0.369     0.421     0.004     0.006     0.084     0.269     0.539     0.005     0.008     0.088
     0.410     0.371     0.421     0.004     0.006     0.086     0.264     0.533     0.005     0.008     0.090
     0.420     0.373     0.421     0.004     0.006     0.089     0.260     0.529     0.005     0.008     0.091
     0.430     0.374     0.421     0.004     0.006     0.091     0.255     0.523     0.005     0.008     0.092
     0.440     0.375     0.421     0.004     0.006     0.094     0.252     0.519     0.004     0.008     0.093
     0.450     0.377     0.421     0.004     0.006     0.096     0.247     0.514     0.004     0.008     0.094
     0.460     0.378     0.421     0.003     0.006     0.099     0.243     0.509     0.004     0.009     0.095
     0.470     0.379     0.421     0.003     0.006     0.101     0.239     0.504     0.004     0.009     0.096
     0.480     0.380     0.422     0.003     0.006     0.103     0.235     0.500     0.003     0.009     0.097
     0.490     0.381     0.422     0.003     0.006     0.106     0.231     0.495     0.003     0.009     0.097
     0.500     0.382     0.422     0.003     0.006     0.108     0.227     0.491     0.003     0.009     0.098
