  STRAIN   AVACS   MODE1   MODE2   MODE3   MODE4
   0.000   2.000   0.001   0.000   0.000   0.046
   0.010   2.000   0.001   0.000   0.000   0.046
   0.020   2.000   0.001   0.000   0.000   0.047
   0.030   2.000   0.001   0.000   0.000   0.048
   0.040   2.000   0.001   0.000   0.000   0.048
   0.050   2.000   0.001   0.000   0.000   0.049
   0.060   2.000   0.001   0.000   0.000   0.050
   0.070   2.000   0.001   0.000   0.000   0.052
   0.080   2.000   0.001   0.000   0.000   0.053
   0.090   2.000   0.001   0.000   0.000   0.055
   0.100   2.000   0.001   0.000   0.000   0.056
   0.110   2.000   0.001   0.000   0.000   0.058
   0.120   2.000   0.001   0.000   0.000   0.060
   0.130   2.000   0.001   0.000   0.000   0.062
   0.140   2.000   0.001   0.000   0.000   0.064
   0.150   2.000   0.001   0.000   0.000   0.066
   0.160   2.000   0.001   0.000   0.000   0.069
   0.170   2.000   0.001   0.000   0.000   0.071
   0.180   2.000   0.001   0.000   0.000   0.074
   0.190   2.000   0.001   0.000   0.000   0.076
   0.200   2.000   0.001   0.000   0.000   0.079
   0.210   2.000   0.001   0.000   0.000   0.082
   0.220   2.000   0.001   0.000   0.000   0.085
   0.230   2.000   0.001   0.000   0.000   0.088
   0.240   2.000   0.001   0.000   0.000   0.091
   0.250   2.000   0.001   0.000   0.000   0.094
   0.260   2.000   0.001   0.000   0.000   0.097
   0.270   2.000   0.001   0.000   0.000   0.101
   0.280   2.000   0.001   0.000   0.000   0.104
   0.290   2.000   0.001   0.000   0.000   0.107
   0.300   2.000   0.001   0.000   0.000   0.111
   0.310   2.000   0.001   0.000   0.000   0.114
   0.320   2.000   0.001   0.000   0.000   0.117
   0.330   2.000   0.001   0.000   0.000   0.121
   0.340   2.000   0.001   0.000   0.000   0.124
   0.350   2.000   0.001   0.000   0.000   0.127
   0.360   2.000   0.001   0.000   0.000   0.131
   0.370   2.000   0.001   0.000   0.000   0.134
   0.380   2.000   0.001   0.000   0.000   0.138
   0.390   2.000   0.001   0.000   0.000   0.142
   0.400   2.000   0.001   0.000   0.000   0.144
   0.410   2.000   0.001   0.000   0.000   0.148
   0.420   2.000   0.001   0.000   0.000   0.151
   0.430   2.000   0.001   0.000   0.000   0.154
   0.440   2.000   0.001   0.000   0.000   0.157
   0.450   2.000   0.001   0.000   0.000   0.161
   0.460   2.000   0.001   0.000   0.000   0.163
   0.470   2.000   0.001   0.000   0.000   0.167
   0.480   2.000   0.001   0.000   0.000   0.170
   0.490   2.000   0.001   0.000   0.000   0.173
   0.500   2.000   0.001   0.000   0.000   0.176
