  STRAIN   AVACS   MODE1   MODE2   MODE3
   0.000  14.000   0.537   0.062   0.354
   0.010  14.000   0.537   0.062   0.354
   0.020  14.000   0.536   0.062   0.354
   0.030  14.000   0.536   0.062   0.353
   0.040  14.000   0.535   0.062   0.353
   0.050  14.000   0.534   0.062   0.353
   0.060  14.000   0.533   0.063   0.353
   0.070  14.000   0.533   0.063   0.353
   0.080  14.000   0.531   0.063   0.352
   0.090  14.000   0.530   0.063   0.352
   0.100  14.000   0.529   0.063   0.351
   0.110  14.000   0.528   0.063   0.351
   0.120  14.000   0.526   0.063   0.351
   0.130  14.000   0.525   0.063   0.350
   0.140  14.000   0.523   0.063   0.349
   0.150  14.000   0.521   0.063   0.349
   0.160  14.000   0.519   0.063   0.348
   0.170  14.000   0.517   0.063   0.348
   0.180  14.000   0.515   0.063   0.347
   0.190  14.000   0.513   0.063   0.346
   0.200  14.000   0.511   0.063   0.346
   0.210  14.000   0.509   0.064   0.345
   0.220  14.000   0.506   0.064   0.344
   0.230  14.000   0.504   0.064   0.344
   0.240  14.000   0.501   0.064   0.343
   0.250  14.000   0.499   0.064   0.342
   0.260  14.000   0.496   0.064   0.342
   0.270  14.000   0.493   0.065   0.341
   0.280  14.000   0.490   0.065   0.340
   0.290  14.000   0.487   0.065   0.340
   0.300  14.000   0.484   0.066   0.339
   0.310  14.000   0.481   0.066   0.339
   0.320  14.000   0.478   0.066   0.338
   0.330  14.000   0.475   0.067   0.338
   0.340  14.000   0.471   0.067   0.337
   0.350  14.000   0.468   0.067   0.337
   0.360  14.000   0.464   0.068   0.336
   0.370  14.000   0.461   0.068   0.336
   0.380  14.000   0.458   0.069   0.335
   0.390  14.000   0.454   0.069   0.335
   0.400  14.000   0.451   0.070   0.335
   0.410  14.000   0.447   0.070   0.334
   0.420  14.000   0.443   0.071   0.334
   0.430  14.000   0.440   0.072   0.334
   0.440  14.000   0.436   0.072   0.334
   0.450  14.000   0.432   0.073   0.333
   0.460  14.000   0.429   0.074   0.334
   0.470  14.000   0.425   0.075   0.333
   0.480  14.000   0.421   0.075   0.333
   0.490  14.000   0.417   0.076   0.333
   0.500  14.000   0.413   0.077   0.333
