  EPS  PHASE      AVAX1   AVAX2   AVAX3      SDAX1   SDAX2   SDAX3
  0.00     1      1.000   1.000   1.000      0.000   0.000   0.000
  0.02     1      1.004   1.016   0.979      0.003   0.003   0.004
  0.04     1      1.009   1.033   0.959      0.007   0.006   0.008
  0.06     1      1.013   1.050   0.940      0.010   0.008   0.011
  0.08     1      1.017   1.067   0.920      0.013   0.011   0.015
  0.10     1      1.021   1.084   0.902      0.017   0.013   0.018
  0.12     1      1.026   1.102   0.883      0.020   0.016   0.021
  0.14     1      1.030   1.120   0.865      0.023   0.018   0.025
  0.16     1      1.034   1.139   0.847      0.026   0.020   0.028
  0.18     1      1.038   1.158   0.830      0.030   0.022   0.031
  0.20     1      1.042   1.177   0.813      0.033   0.023   0.034
  0.22     1      1.046   1.197   0.797      0.036   0.025   0.037
  0.24     1      1.050   1.217   0.780      0.039   0.026   0.040
  0.26     1      1.055   1.237   0.765      0.043   0.028   0.043
  0.28     1      1.059   1.258   0.749      0.046   0.029   0.046
  0.30     1      1.063   1.279   0.734      0.049   0.030   0.049
  0.32     1      1.067   1.300   0.719      0.052   0.031   0.052
  0.34     1      1.071   1.322   0.704      0.055   0.032   0.054
  0.36     1      1.075   1.345   0.690      0.058   0.033   0.057
  0.38     1      1.079   1.367   0.676      0.061   0.034   0.060
  0.40     1      1.083   1.390   0.662      0.065   0.035   0.063
  0.42     1      1.087   1.414   0.649      0.068   0.035   0.066
  0.44     1      1.091   1.438   0.636      0.071   0.036   0.069
  0.46     1      1.095   1.462   0.623      0.074   0.037   0.072
  0.48     1      1.100   1.487   0.610      0.077   0.037   0.074
  0.50     1      1.104   1.513   0.598      0.081   0.038   0.077
  0.52     1      1.108   1.538   0.585      0.084   0.039   0.080
  0.54     1      1.112   1.565   0.574      0.087   0.039   0.083
  0.56     1      1.116   1.591   0.562      0.090   0.040   0.086
  0.58     1      1.120   1.618   0.550      0.093   0.040   0.089
  0.60     1      1.125   1.646   0.539      0.097   0.041   0.092
  0.62     1      1.129   1.674   0.528      0.100   0.041   0.095
  0.64     1      1.133   1.703   0.518      0.103   0.042   0.098
  0.66     1      1.138   1.732   0.507      0.107   0.042   0.101
  0.68     1      1.142   1.762   0.497      0.110   0.043   0.104
  0.70     1      1.146   1.792   0.487      0.113   0.043   0.107
  0.72     1      1.151   1.822   0.477      0.117   0.043   0.110
  0.74     1      1.155   1.854   0.467      0.120   0.044   0.113
  0.76     1      1.160   1.885   0.458      0.123   0.044   0.115
  0.78     1      1.165   1.917   0.448      0.127   0.045   0.118
  0.80     1      1.169   1.950   0.439      0.130   0.045   0.121
  0.82     1      1.174   1.983   0.430      0.133   0.045   0.124
  0.84     1      1.179   2.016   0.422      0.137   0.046   0.127
  0.86     1      1.184   2.050   0.413      0.140   0.046   0.130
  0.88     1      1.189   2.085   0.405      0.143   0.046   0.133
  0.90     1      1.194   2.120   0.396      0.146   0.047   0.136
  0.92     1      1.200   2.155   0.388      0.150   0.047   0.138
  0.94     1      1.205   2.191   0.381      0.153   0.047   0.141
  0.96     1      1.211   2.227   0.373      0.156   0.048   0.144
  0.98     1      1.216   2.264   0.365      0.159   0.048   0.147
  1.00     1      1.222   2.301   0.358      0.163   0.048   0.149
