  EPS  PHASE      AVAX1   AVAX2   AVAX3      SDAX1   SDAX2   SDAX3
  0.00     1      1.000   1.000   1.000      0.000   0.000   0.000
  0.02     1      1.010   1.010   0.980      0.000   0.000   0.000
  0.04     1      1.020   1.020   0.960      0.000   0.000   0.000
  0.06     1      1.030   1.030   0.941      0.000   0.000   0.000
  0.08     1      1.041   1.041   0.922      0.000   0.000   0.000
  0.10     1      1.051   1.051   0.904      0.000   0.000   0.000
  0.12     1      1.062   1.062   0.886      0.000   0.000   0.000
  0.14     1      1.072   1.072   0.868      0.000   0.000   0.000
  0.16     1      1.083   1.083   0.851      0.000   0.000   0.000
  0.18     1      1.094   1.094   0.834      0.000   0.000   0.000
  0.20     1      1.105   1.105   0.817      0.000   0.000   0.000
  0.22     1      1.116   1.116   0.801      0.000   0.000   0.000
  0.24     1      1.127   1.127   0.785      0.000   0.000   0.000
  0.26     1      1.138   1.138   0.769      0.000   0.000   0.000
  0.28     1      1.149   1.149   0.754      0.000   0.000   0.000
  0.30     1      1.161   1.161   0.739      0.000   0.000   0.000
  0.32     1      1.173   1.173   0.724      0.000   0.000   0.000
  0.34     1      1.184   1.184   0.709      0.000   0.000   0.000
  0.36     1      1.196   1.196   0.695      0.000   0.000   0.000
  0.38     1      1.208   1.208   0.681      0.000   0.000   0.000
  0.40     1      1.220   1.220   0.668      0.000   0.000   0.000
  0.42     1      1.232   1.232   0.654      0.000   0.000   0.000
  0.44     1      1.245   1.245   0.641      0.000   0.000   0.000
  0.46     1      1.257   1.257   0.628      0.000   0.000   0.000
  0.48     1      1.270   1.270   0.616      0.000   0.000   0.000
  0.50     1      1.282   1.282   0.603      0.000   0.000   0.000
  0.52     1      1.295   1.295   0.591      0.000   0.000   0.000
  0.54     1      1.308   1.308   0.580      0.000   0.000   0.000
  0.56     1      1.321   1.321   0.568      0.000   0.000   0.000
  0.58     1      1.335   1.335   0.557      0.000   0.000   0.000
  0.60     1      1.348   1.348   0.545      0.000   0.000   0.000
  0.62     1      1.361   1.361   0.535      0.000   0.000   0.000
  0.64     1      1.375   1.375   0.524      0.000   0.000   0.000
  0.66     1      1.389   1.389   0.513      0.000   0.000   0.000
  0.68     1      1.403   1.403   0.503      0.000   0.000   0.000
  0.70     1      1.417   1.417   0.493      0.000   0.000   0.000
  0.72     1      1.431   1.431   0.483      0.000   0.000   0.000
  0.74     1      1.445   1.445   0.474      0.000   0.000   0.000
  0.76     1      1.460   1.460   0.464      0.000   0.000   0.000
  0.78     1      1.474   1.474   0.455      0.000   0.000   0.000
  0.80     1      1.489   1.489   0.446      0.000   0.000   0.000
  0.82     1      1.504   1.504   0.437      0.000   0.000   0.000
  0.84     1      1.519   1.519   0.428      0.000   0.000   0.000
  0.86     1      1.534   1.534   0.419      0.000   0.000   0.000
  0.88     1      1.549   1.549   0.411      0.000   0.000   0.000
  0.90     1      1.565   1.565   0.403      0.000   0.000   0.000
  0.92     1      1.580   1.580   0.395      0.000   0.000   0.000
  0.94     1      1.596   1.596   0.387      0.000   0.000   0.000
  0.96     1      1.612   1.612   0.379      0.000   0.000   0.000
  0.98     1      1.628   1.628   0.372      0.000   0.000   0.000
  1.00     1      1.645   1.645   0.364      0.000   0.000   0.000
