    epsacu     sdev1     sdev2     sdev3     sdev4     sdev5     ddev1     ddev2     ddev3     ddev4     ddev5
     0.000     0.260     0.455     0.013     0.002     0.022     0.406     0.710     0.018     0.003     0.033
     0.010     0.263     0.453     0.013     0.002     0.022     0.406     0.709     0.018     0.003     0.033
     0.020     0.267     0.451     0.013     0.002     0.023     0.405     0.709     0.018     0.003     0.033
     0.030     0.271     0.449     0.012     0.002     0.023     0.405     0.708     0.018     0.003     0.033
     0.040     0.274     0.447     0.012     0.002     0.023     0.404     0.707     0.018     0.003     0.034
     0.050     0.278     0.446     0.012     0.002     0.024     0.403     0.706     0.018     0.003     0.034
     0.060     0.282     0.444     0.012     0.002     0.024     0.402     0.705     0.018     0.003     0.035
     0.070     0.285     0.442     0.012     0.002     0.025     0.401     0.703     0.018     0.003     0.036
     0.080     0.289     0.441     0.012     0.002     0.026     0.399     0.701     0.018     0.003     0.037
     0.090     0.293     0.439     0.012     0.002     0.027     0.398     0.699     0.018     0.003     0.038
     0.100     0.297     0.438     0.012     0.002     0.028     0.396     0.696     0.018     0.003     0.039
     0.110     0.301     0.437     0.012     0.002     0.029     0.394     0.694     0.018     0.003     0.040
     0.120     0.304     0.435     0.012     0.002     0.030     0.392     0.691     0.018     0.003     0.042
     0.130     0.308     0.434     0.012     0.002     0.032     0.390     0.688     0.018     0.003     0.043
     0.140     0.312     0.433     0.012     0.002     0.033     0.388     0.685     0.019     0.003     0.045
     0.150     0.316     0.432     0.013     0.002     0.035     0.385     0.681     0.019     0.003     0.047
     0.160     0.319     0.431     0.013     0.002     0.037     0.383     0.677     0.019     0.003     0.048
     0.170     0.323     0.430     0.013     0.002     0.038     0.380     0.673     0.019     0.002     0.050
     0.180     0.327     0.429     0.013     0.002     0.040     0.377     0.669     0.019     0.002     0.052
     0.190     0.330     0.428     0.013     0.002     0.042     0.374     0.664     0.019     0.002     0.054
     0.200     0.334     0.427     0.013     0.002     0.045     0.370     0.660     0.019     0.002     0.057
     0.210     0.337     0.426     0.013     0.002     0.047     0.367     0.655     0.019     0.002     0.059
     0.220     0.341     0.426     0.013     0.002     0.049     0.363     0.649     0.019     0.002     0.061
     0.230     0.344     0.425     0.013     0.002     0.052     0.359     0.644     0.019     0.002     0.063
     0.240     0.348     0.424     0.013     0.002     0.054     0.356     0.639     0.019     0.002     0.066
     0.250     0.351     0.424     0.013     0.002     0.057     0.352     0.634     0.019     0.002     0.068
     0.260     0.354     0.423     0.013     0.002     0.060     0.348     0.628     0.019     0.002     0.071
     0.270     0.357     0.422     0.012     0.002     0.063     0.343     0.622     0.019     0.002     0.073
     0.280     0.360     0.422     0.012     0.002     0.066     0.339     0.617     0.019     0.002     0.076
     0.290     0.363     0.421     0.012     0.002     0.069     0.335     0.611     0.019     0.002     0.079
     0.300     0.366     0.420     0.012     0.002     0.072     0.331     0.605     0.019     0.002     0.081
     0.310     0.369     0.420     0.012     0.002     0.075     0.326     0.599     0.019     0.002     0.084
     0.320     0.372     0.419     0.012     0.002     0.079     0.322     0.593     0.019     0.002     0.086
     0.330     0.375     0.419     0.012     0.002     0.082     0.318     0.587     0.018     0.002     0.089
     0.340     0.377     0.418     0.012     0.002     0.085     0.313     0.581     0.018     0.002     0.091
     0.350     0.380     0.418     0.011     0.002     0.089     0.308     0.575     0.018     0.002     0.094
     0.360     0.382     0.417     0.011     0.002     0.092     0.304     0.569     0.018     0.002     0.096
     0.370     0.384     0.417     0.011     0.002     0.096     0.299     0.564     0.017     0.003     0.099
     0.380     0.387     0.417     0.011     0.002     0.099     0.295     0.558     0.017     0.003     0.101
     0.390     0.389     0.416     0.011     0.002     0.103     0.290     0.552     0.017     0.003     0.103
     0.400     0.391     0.416     0.011     0.002     0.106     0.285     0.545     0.016     0.003     0.105
     0.410     0.393     0.415     0.010     0.002     0.110     0.281     0.540     0.016     0.003     0.107
     0.420     0.395     0.415     0.010     0.002     0.113     0.276     0.534     0.016     0.003     0.110
     0.430     0.396     0.415     0.010     0.002     0.117     0.272     0.528     0.015     0.003     0.111
     0.440     0.398     0.415     0.010     0.003     0.120     0.267     0.523     0.015     0.003     0.113
     0.450     0.400     0.414     0.009     0.003     0.124     0.262     0.517     0.015     0.003     0.115
     0.460     0.401     0.414     0.009     0.003     0.127     0.258     0.511     0.014     0.003     0.117
     0.470     0.403     0.414     0.009     0.003     0.131     0.254     0.506     0.014     0.004     0.119
     0.480     0.404     0.414     0.009     0.003     0.134     0.249     0.501     0.013     0.004     0.120
     0.490     0.405     0.413     0.009     0.003     0.137     0.244     0.495     0.013     0.004     0.122
     0.500     0.406     0.413     0.008     0.003     0.141     0.240     0.490     0.013     0.004     0.123
