  STRAIN   AVACS   MODE1   MODE2   MODE3
   0.000  15.000   0.546   0.062   0.356
   0.010  15.000   0.546   0.062   0.356
   0.020  15.000   0.545   0.062   0.356
   0.030  15.000   0.545   0.062   0.355
   0.040  15.000   0.545   0.062   0.355
   0.050  15.000   0.544   0.061   0.355
   0.060  15.000   0.544   0.061   0.355
   0.070  15.000   0.543   0.061   0.354
   0.080  15.000   0.542   0.061   0.354
   0.090  15.000   0.542   0.061   0.353
   0.100  15.000   0.541   0.061   0.353
   0.110  15.000   0.540   0.061   0.352
   0.120  15.000   0.539   0.061   0.352
   0.130  15.000   0.538   0.061   0.351
   0.140  15.000   0.537   0.061   0.350
   0.150  15.000   0.535   0.061   0.350
   0.160  15.000   0.534   0.061   0.349
   0.170  15.000   0.533   0.060   0.348
   0.180  15.000   0.531   0.060   0.347
   0.190  15.000   0.529   0.060   0.346
   0.200  15.000   0.528   0.060   0.345
   0.210  15.000   0.526   0.060   0.344
   0.220  15.000   0.524   0.060   0.343
   0.230  15.000   0.522   0.060   0.342
   0.240  14.000   0.520   0.059   0.341
   0.250  14.000   0.518   0.059   0.340
   0.260  14.000   0.516   0.059   0.339
   0.270  14.000   0.514   0.059   0.337
   0.280  14.000   0.512   0.059   0.336
   0.290  14.000   0.510   0.059   0.335
   0.300  14.000   0.507   0.059   0.334
   0.310  14.000   0.505   0.059   0.333
   0.320  14.000   0.503   0.058   0.331
   0.330  14.000   0.500   0.058   0.330
   0.340  14.000   0.498   0.058   0.329
   0.350  14.000   0.495   0.058   0.328
   0.360  14.000   0.493   0.058   0.327
   0.370  14.000   0.491   0.058   0.326
   0.380  14.000   0.488   0.058   0.324
   0.390  14.000   0.486   0.058   0.323
   0.400  14.000   0.483   0.058   0.322
   0.410  14.000   0.480   0.058   0.321
   0.420  14.000   0.478   0.058   0.320
   0.430  14.000   0.475   0.058   0.319
   0.440  14.000   0.473   0.058   0.318
   0.450  14.000   0.470   0.058   0.317
   0.460  14.000   0.467   0.058   0.316
   0.470  14.000   0.465   0.058   0.315
   0.480  14.000   0.462   0.058   0.314
   0.490  14.000   0.460   0.058   0.313
   0.500  14.000   0.457   0.058   0.313
