
*******   STEP   1      *** NEFF=10 CALCULATION                
    1   0.491E-02   0.420E-02   0.560E-02
    2   0.360E-02   0.637E-02   0.418E-02
    3   0.143E-02   0.478E-02   0.115E-02
    4   0.634E-03   0.273E-02   0.836E-03
    5   0.524E-03   0.134E-02   0.117E-02
    6   0.412E-03   0.103E-02   0.645E-03
    7   0.415E-03   0.956E-03   0.353E-03

*******   STEP   2      *** NEFF=10 CALCULATION                
    1   0.627E-03   0.149E-02   0.155E-02
    2   0.362E-03   0.153E-02   0.764E-03
    3   0.626E-03   0.106E-02   0.691E-03
    4   0.234E-03   0.679E-03   0.169E-03

*******   STEP   3      *** NEFF=10 CALCULATION                
    1   0.576E-03   0.942E-03   0.142E-02
    2   0.207E-03   0.113E-02   0.587E-03
    3   0.568E-03   0.816E-03   0.676E-03

*******   STEP   4      *** NEFF=10 CALCULATION                
    1   0.634E-03   0.145E-02   0.164E-02
    2   0.496E-03   0.153E-02   0.893E-03
    3   0.629E-03   0.113E-02   0.594E-03
    4   0.241E-03   0.836E-03   0.315E-03

*******   STEP   5      *** NEFF=10 CALCULATION                
    1   0.464E-03   0.804E-03   0.108E-02
    2   0.111E-03   0.837E-03   0.375E-03

*******   STEP   6      *** NEFF=10 CALCULATION                
    1   0.121E-02   0.107E-02   0.115E-02
    2   0.355E-03   0.116E-02   0.500E-03
    3   0.436E-03   0.100E-02   0.381E-03
    4   0.139E-03   0.799E-03   0.284E-03
