
*******   STEP   1      *** NEFF=10 CALCULATION                
    1   0.491E-02   0.413E-02   0.560E-02
    2   0.362E-02   0.632E-02   0.422E-02
    3   0.144E-02   0.471E-02   0.117E-02
    4   0.638E-03   0.266E-02   0.842E-03
    5   0.534E-03   0.134E-02   0.120E-02
    6   0.421E-03   0.105E-02   0.666E-03
    7   0.427E-03   0.957E-03   0.363E-03

*******   STEP   2      *** NEFF=10 CALCULATION                
    1   0.639E-03   0.148E-02   0.157E-02
    2   0.368E-03   0.161E-02   0.775E-03
    3   0.633E-03   0.113E-02   0.688E-03
    4   0.234E-03   0.726E-03   0.175E-03

*******   STEP   3      *** NEFF=10 CALCULATION                
    1   0.576E-03   0.923E-03   0.142E-02
    2   0.201E-03   0.115E-02   0.588E-03
    3   0.569E-03   0.842E-03   0.679E-03

*******   STEP   4      *** NEFF=10 CALCULATION                
    1   0.639E-03   0.146E-02   0.165E-02
    2   0.499E-03   0.158E-02   0.911E-03
    3   0.637E-03   0.118E-02   0.607E-03
    4   0.246E-03   0.864E-03   0.307E-03

*******   STEP   5      *** NEFF=10 CALCULATION                
    1   0.470E-03   0.792E-03   0.108E-02
    2   0.110E-03   0.880E-03   0.374E-03

*******   STEP   6      *** NEFF=10 CALCULATION                
    1   0.121E-02   0.107E-02   0.115E-02
    2   0.354E-03   0.124E-02   0.511E-03
    3   0.439E-03   0.107E-02   0.386E-03
    4   0.142E-03   0.815E-03   0.275E-03
