  STRAIN   AVACS   MODE1   MODE2   MODE3
   0.000   8.000   0.206   0.224   0.477
   0.010   8.000   0.202   0.226   0.477
   0.020   8.000   0.198   0.229   0.478
   0.030   8.000   0.195   0.231   0.479
   0.040   8.000   0.191   0.233   0.479
   0.050   8.000   0.187   0.235   0.480
   0.060   8.000   0.184   0.237   0.480
   0.070   8.000   0.180   0.239   0.480
   0.080   8.000   0.176   0.241   0.480
   0.090   8.000   0.173   0.243   0.481
   0.100   8.000   0.169   0.245   0.481
   0.110   8.000   0.166   0.247   0.481
   0.120   8.000   0.163   0.249   0.480
   0.130   8.000   0.159   0.251   0.480
   0.140   8.000   0.156   0.252   0.480
   0.150   8.000   0.153   0.254   0.480
   0.160   8.000   0.149   0.255   0.479
   0.170   8.000   0.146   0.257   0.479
   0.180   8.000   0.143   0.258   0.478
   0.190   8.000   0.140   0.260   0.477
   0.200   8.000   0.137   0.261   0.477
   0.210   8.000   0.134   0.262   0.476
   0.220   8.000   0.131   0.264   0.475
   0.230   8.000   0.128   0.265   0.474
   0.240   8.000   0.126   0.266   0.473
   0.250   8.000   0.123   0.267   0.473
   0.260   8.000   0.120   0.268   0.472
   0.270   8.000   0.118   0.269   0.470
   0.280   8.000   0.115   0.270   0.469
   0.290   8.000   0.113   0.271   0.468
   0.300   8.000   0.111   0.271   0.467
   0.310   8.000   0.108   0.272   0.466
   0.320   8.000   0.106   0.273   0.464
   0.330   8.000   0.104   0.273   0.463
   0.340   8.000   0.102   0.274   0.462
   0.350   8.000   0.100   0.274   0.460
   0.360   8.000   0.098   0.275   0.459
   0.370   8.000   0.096   0.275   0.457
   0.380   8.000   0.094   0.276   0.456
   0.390   8.000   0.092   0.276   0.455
   0.400   8.000   0.090   0.276   0.453
   0.410   8.000   0.089   0.276   0.452
   0.420   8.000   0.087   0.276   0.450
   0.430   8.000   0.086   0.276   0.449
   0.440   8.000   0.084   0.276   0.447
   0.450   9.000   0.083   0.276   0.446
   0.460   9.000   0.081   0.276   0.444
   0.470  10.000   0.080   0.276   0.443
   0.480  10.000   0.079   0.276   0.441
   0.490  10.000   0.077   0.276   0.440
   0.500  10.000   0.076   0.276   0.438
