    epsacu     sdev1     sdev2     sdev3     sdev4     sdev5     ddev1     ddev2     ddev3     ddev4     ddev5
     0.000     0.247     0.495     0.001     0.005     0.016     0.341     0.631     0.000     0.005     0.029
     0.010     0.250     0.494     0.001     0.005     0.016     0.340     0.631     0.000     0.005     0.029
     0.020     0.252     0.494     0.000     0.005     0.016     0.339     0.629     0.000     0.005     0.029
     0.030     0.254     0.493     0.000     0.005     0.015     0.338     0.628     0.000     0.005     0.029
     0.040     0.256     0.492     0.000     0.005     0.015     0.336     0.626     0.001     0.005     0.029
     0.050     0.258     0.492     0.000     0.006     0.015     0.335     0.625     0.001     0.005     0.029
     0.060     0.260     0.491     0.000     0.006     0.015     0.333     0.623     0.001     0.005     0.029
     0.070     0.262     0.491     0.000     0.006     0.016     0.332     0.621     0.001     0.005     0.029
     0.080     0.264     0.490     0.000     0.006     0.016     0.330     0.619     0.001     0.005     0.029
     0.090     0.266     0.490     0.000     0.006     0.016     0.328     0.617     0.001     0.005     0.029
     0.100     0.268     0.490     0.000     0.006     0.016     0.326     0.615     0.001     0.006     0.029
     0.110     0.269     0.489     0.001     0.006     0.017     0.324     0.612     0.001     0.006     0.029
     0.120     0.271     0.489     0.001     0.006     0.017     0.322     0.610     0.001     0.006     0.029
     0.130     0.273     0.489     0.001     0.006     0.017     0.320     0.607     0.001     0.006     0.029
     0.140     0.274     0.488     0.001     0.006     0.018     0.317     0.604     0.001     0.006     0.030
     0.150     0.276     0.488     0.001     0.006     0.018     0.315     0.601     0.001     0.006     0.030
     0.160     0.278     0.488     0.001     0.006     0.019     0.312     0.598     0.002     0.006     0.030
     0.170     0.279     0.488     0.001     0.007     0.020     0.310     0.595     0.002     0.006     0.030
     0.180     0.280     0.488     0.001     0.007     0.020     0.307     0.592     0.002     0.006     0.030
     0.190     0.282     0.488     0.002     0.007     0.021     0.304     0.589     0.002     0.007     0.030
     0.200     0.283     0.488     0.002     0.007     0.022     0.301     0.585     0.002     0.007     0.030
     0.210     0.284     0.488     0.002     0.007     0.022     0.298     0.581     0.002     0.007     0.031
     0.220     0.286     0.488     0.002     0.007     0.023     0.295     0.578     0.002     0.007     0.031
     0.230     0.287     0.488     0.002     0.007     0.024     0.292     0.574     0.002     0.007     0.031
     0.240     0.288     0.488     0.002     0.007     0.025     0.289     0.570     0.002     0.007     0.031
     0.250     0.289     0.488     0.002     0.007     0.026     0.286     0.567     0.002     0.007     0.031
     0.260     0.290     0.488     0.003     0.007     0.026     0.283     0.563     0.002     0.008     0.031
     0.270     0.291     0.489     0.003     0.008     0.027     0.279     0.558     0.002     0.008     0.031
     0.280     0.292     0.489     0.003     0.008     0.028     0.276     0.554     0.002     0.008     0.031
     0.290     0.293     0.489     0.003     0.008     0.029     0.272     0.550     0.002     0.008     0.031
     0.300     0.294     0.489     0.003     0.008     0.030     0.269     0.545     0.003     0.008     0.031
     0.310     0.295     0.489     0.003     0.008     0.031     0.265     0.541     0.003     0.008     0.031
     0.320     0.296     0.489     0.003     0.008     0.031     0.262     0.537     0.003     0.009     0.031
     0.330     0.297     0.489     0.003     0.008     0.032     0.258     0.532     0.003     0.009     0.031
     0.340     0.297     0.490     0.003     0.008     0.033     0.255     0.528     0.003     0.009     0.031
     0.350     0.298     0.490     0.004     0.008     0.034     0.251     0.523     0.003     0.009     0.031
     0.360     0.299     0.490     0.004     0.008     0.034     0.247     0.519     0.003     0.009     0.031
     0.370     0.299     0.490     0.004     0.009     0.035     0.244     0.514     0.003     0.009     0.031
     0.380     0.300     0.490     0.004     0.009     0.036     0.240     0.510     0.003     0.009     0.031
     0.390     0.301     0.491     0.004     0.009     0.036     0.236     0.505     0.003     0.010     0.031
     0.400     0.301     0.491     0.004     0.009     0.037     0.233     0.501     0.003     0.010     0.030
     0.410     0.302     0.491     0.004     0.009     0.038     0.229     0.497     0.003     0.010     0.030
     0.420     0.302     0.491     0.004     0.009     0.038     0.225     0.492     0.003     0.010     0.030
     0.430     0.303     0.491     0.004     0.009     0.039     0.222     0.488     0.003     0.010     0.030
     0.440     0.304     0.492     0.004     0.009     0.039     0.218     0.483     0.004     0.010     0.029
     0.450     0.304     0.492     0.005     0.009     0.040     0.215     0.479     0.004     0.011     0.029
     0.460     0.305     0.492     0.005     0.009     0.040     0.211     0.474     0.004     0.011     0.028
     0.470     0.305     0.492     0.005     0.009     0.040     0.207     0.469     0.004     0.011     0.028
     0.480     0.305     0.492     0.005     0.009     0.040     0.204     0.465     0.004     0.011     0.028
     0.490     0.306     0.492     0.005     0.009     0.041     0.201     0.461     0.004     0.011     0.027
     0.500     0.306     0.493     0.005     0.009     0.041     0.197     0.456     0.004     0.011     0.027
