  STRAIN   AVACS   MODE1   MODE2   MODE3   MODE4
   0.000   4.000   0.015   0.000   0.000   0.078
   0.010   4.000   0.015   0.000   0.000   0.079
   0.020   4.000   0.015   0.000   0.000   0.080
   0.030   4.000   0.015   0.000   0.000   0.081
   0.040   4.000   0.015   0.000   0.000   0.082
   0.050   4.000   0.015   0.000   0.000   0.083
   0.060   4.000   0.015   0.000   0.000   0.084
   0.070   4.000   0.015   0.000   0.000   0.085
   0.080   4.000   0.015   0.000   0.000   0.087
   0.090   4.000   0.015   0.000   0.000   0.088
   0.100   4.000   0.015   0.000   0.000   0.090
   0.110   4.000   0.015   0.000   0.000   0.091
   0.120   4.000   0.015   0.000   0.000   0.093
   0.130   4.000   0.015   0.000   0.000   0.095
   0.140   4.000   0.015   0.000   0.000   0.096
   0.150   4.000   0.016   0.000   0.000   0.098
   0.160   4.000   0.016   0.000   0.000   0.100
   0.170   4.000   0.016   0.000   0.000   0.102
   0.180   4.000   0.016   0.000   0.000   0.104
   0.190   4.000   0.016   0.000   0.000   0.107
   0.200   4.000   0.016   0.000   0.000   0.109
   0.210   4.000   0.016   0.000   0.000   0.111
   0.220   4.000   0.017   0.000   0.000   0.113
   0.230   4.000   0.017   0.000   0.000   0.116
   0.240   4.000   0.017   0.000   0.000   0.118
   0.250   4.000   0.017   0.000   0.000   0.120
   0.260   4.000   0.017   0.000   0.000   0.123
   0.270   4.000   0.018   0.000   0.000   0.126
   0.280   4.000   0.018   0.000   0.000   0.128
   0.290   4.000   0.018   0.000   0.000   0.130
   0.300   4.000   0.018   0.000   0.000   0.133
   0.310   4.000   0.018   0.000   0.000   0.136
   0.320   4.000   0.019   0.000   0.000   0.138
   0.330   4.000   0.019   0.000   0.000   0.141
   0.340   4.000   0.019   0.000   0.000   0.143
   0.350   4.000   0.020   0.000   0.000   0.146
   0.360   4.000   0.020   0.000   0.000   0.149
   0.370   4.000   0.020   0.000   0.000   0.151
   0.380   4.000   0.021   0.000   0.000   0.154
   0.390   4.000   0.021   0.000   0.000   0.157
   0.400   4.000   0.021   0.000   0.000   0.159
   0.410   4.000   0.022   0.000   0.000   0.162
   0.420   4.000   0.022   0.000   0.000   0.164
   0.430   4.000   0.022   0.000   0.000   0.167
   0.440   4.000   0.023   0.000   0.000   0.169
   0.450   4.000   0.023   0.000   0.000   0.172
   0.460   4.000   0.024   0.000   0.000   0.174
   0.470   4.000   0.024   0.000   0.000   0.177
   0.480   4.000   0.025   0.000   0.000   0.179
   0.490   4.000   0.025   0.000   0.000   0.181
   0.500   4.000   0.026   0.000   0.000   0.184
