          Evm          Svm            E11          E22          E33          E23          E13          E12         SDEV11       SDEV22       SDEV33       SDEV23       SDEV13       SDEV12      TEMP
  0.00000E+00  0.11422E+03    0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00    0.57949E+02  0.13436E+02 -0.71386E+02 -0.52696E-01  0.44744E+00 -0.55935E+01      298.00
  0.11323E-01  0.11416E+03    0.10000E-01  0.55511E-18 -0.10000E-01  0.00000E+00  0.00000E+00  0.00000E+00    0.58039E+02  0.13255E+02 -0.71294E+02 -0.47794E-01  0.45124E+00 -0.55444E+01      298.00
  0.22652E-01  0.11413E+03    0.20000E-01  0.11102E-17 -0.20000E-01  0.00000E+00  0.00000E+00  0.00000E+00    0.58061E+02  0.13184E+02 -0.71244E+02 -0.35173E-01  0.44672E+00 -0.55872E+01      298.00
  0.33982E-01  0.11401E+03    0.30000E-01  0.16653E-17 -0.30000E-01  0.00000E+00  0.00000E+00  0.00000E+00    0.58050E+02  0.13114E+02 -0.71164E+02 -0.26933E-01  0.45089E+00 -0.54578E+01      298.00
  0.45315E-01  0.11402E+03    0.40000E-01  0.22204E-17 -0.40000E-01  0.00000E+00  0.00000E+00  0.00000E+00    0.58092E+02  0.13061E+02 -0.71153E+02 -0.20820E-01  0.45514E+00 -0.54381E+01      298.00
  0.56650E-01  0.11402E+03    0.50000E-01  0.27756E-17 -0.50000E-01  0.00000E+00  0.00000E+00  0.00000E+00    0.58165E+02  0.12951E+02 -0.71116E+02 -0.12829E-01  0.45634E+00 -0.54090E+01      298.00
  0.67988E-01  0.11402E+03    0.60000E-01  0.33307E-17 -0.60000E-01  0.00000E+00  0.00000E+00  0.00000E+00    0.58238E+02  0.12843E+02 -0.71082E+02 -0.51020E-02  0.45792E+00 -0.53743E+01      298.00
  0.79330E-01  0.11401E+03    0.70000E-01  0.38858E-17 -0.70000E-01  0.00000E+00  0.00000E+00  0.00000E+00    0.58312E+02  0.12732E+02 -0.71044E+02  0.26191E-02  0.46073E+00 -0.52767E+01      298.00
  0.90676E-01  0.11400E+03    0.80000E-01  0.44409E-17 -0.80000E-01  0.00000E+00  0.00000E+00  0.00000E+00    0.58330E+02  0.12695E+02 -0.71025E+02  0.92583E-02  0.46621E+00 -0.52361E+01      298.00
  0.10202E+00  0.11396E+03    0.90000E-01  0.49960E-17 -0.90000E-01  0.00000E+00  0.00000E+00  0.00000E+00    0.58334E+02  0.12675E+02 -0.71009E+02  0.16343E-01  0.47427E+00 -0.51116E+01      298.00
  0.11337E+00  0.11396E+03    0.10000E+00  0.55511E-17 -0.10000E+00  0.00000E+00  0.00000E+00  0.00000E+00    0.58379E+02  0.12608E+02 -0.70986E+02  0.24271E-01  0.47868E+00 -0.50341E+01      298.00
  0.12472E+00  0.11397E+03    0.11000E+00  0.61062E-17 -0.11000E+00  0.00000E+00  0.00000E+00  0.00000E+00    0.58440E+02  0.12535E+02 -0.70976E+02  0.32299E-01  0.48277E+00 -0.49660E+01      298.00
  0.13608E+00  0.11399E+03    0.12000E+00  0.66613E-17 -0.12000E+00  0.00000E+00  0.00000E+00  0.00000E+00    0.58499E+02  0.12473E+02 -0.70972E+02  0.40342E-01  0.48761E+00 -0.48897E+01      298.00
  0.14744E+00  0.11402E+03    0.13000E+00  0.72164E-17 -0.13000E+00  0.00000E+00  0.00000E+00  0.00000E+00    0.58553E+02  0.12418E+02 -0.70972E+02  0.48469E-01  0.49289E+00 -0.48072E+01      298.00
  0.15880E+00  0.11404E+03    0.14000E+00  0.77716E-17 -0.14000E+00  0.00000E+00  0.00000E+00  0.00000E+00    0.58607E+02  0.12368E+02 -0.70975E+02  0.56694E-01  0.49843E+00 -0.47214E+01      298.00
  0.17016E+00  0.11407E+03    0.15000E+00  0.83267E-17 -0.15000E+00  0.00000E+00  0.00000E+00  0.00000E+00    0.58661E+02  0.12322E+02 -0.70982E+02  0.65010E-01  0.50422E+00 -0.46326E+01      298.00
  0.18153E+00  0.11410E+03    0.16000E+00  0.88818E-17 -0.16000E+00  0.00000E+00  0.00000E+00  0.00000E+00    0.58713E+02  0.12280E+02 -0.70993E+02  0.73415E-01  0.51027E+00 -0.45406E+01      298.00
  0.19289E+00  0.11414E+03    0.17000E+00  0.94369E-17 -0.17000E+00  0.00000E+00  0.00000E+00  0.00000E+00    0.58764E+02  0.12243E+02 -0.71007E+02  0.81907E-01  0.51655E+00 -0.44457E+01      298.00
  0.20426E+00  0.11418E+03    0.18000E+00  0.99920E-17 -0.18000E+00  0.00000E+00  0.00000E+00  0.00000E+00    0.58814E+02  0.12211E+02 -0.71025E+02  0.90482E-01  0.52305E+00 -0.43481E+01      298.00
  0.21563E+00  0.11422E+03    0.19000E+00  0.10547E-16 -0.19000E+00  0.00000E+00  0.00000E+00  0.00000E+00    0.58863E+02  0.12183E+02 -0.71045E+02  0.99135E-01  0.52974E+00 -0.42481E+01      298.00
  0.22701E+00  0.11426E+03    0.20000E+00  0.11102E-16 -0.20000E+00  0.00000E+00  0.00000E+00  0.00000E+00    0.58910E+02  0.12159E+02 -0.71069E+02  0.10786E+00  0.53660E+00 -0.41459E+01      298.00
  0.23838E+00  0.11431E+03    0.21000E+00  0.11657E-16 -0.21000E+00  0.00000E+00  0.00000E+00  0.00000E+00    0.58956E+02  0.12139E+02 -0.71094E+02  0.11666E+00  0.54362E+00 -0.40418E+01      298.00
  0.24976E+00  0.11435E+03    0.22000E+00  0.12212E-16 -0.22000E+00  0.00000E+00  0.00000E+00  0.00000E+00    0.59000E+02  0.12122E+02 -0.71123E+02  0.12552E+00  0.55078E+00 -0.39361E+01      298.00
  0.26114E+00  0.11440E+03    0.23000E+00  0.12768E-16 -0.23000E+00  0.00000E+00  0.00000E+00  0.00000E+00    0.59043E+02  0.12110E+02 -0.71153E+02  0.13443E+00  0.55805E+00 -0.38291E+01      298.00
  0.27252E+00  0.11444E+03    0.24000E+00  0.13323E-16 -0.24000E+00  0.00000E+00  0.00000E+00  0.00000E+00    0.59058E+02  0.12133E+02 -0.71191E+02  0.12681E+00  0.57136E+00 -0.37170E+01      298.00
  0.28390E+00  0.11447E+03    0.25000E+00  0.13878E-16 -0.25000E+00  0.00000E+00  0.00000E+00  0.00000E+00    0.59113E+02  0.12080E+02 -0.71193E+02  0.13597E+00  0.57639E+00 -0.36184E+01      298.00
  0.29528E+00  0.11452E+03    0.26000E+00  0.14433E-16 -0.26000E+00  0.00000E+00  0.00000E+00  0.00000E+00    0.59156E+02  0.12062E+02 -0.71219E+02  0.14449E+00  0.58312E+00 -0.35141E+01      298.00
  0.30667E+00  0.11462E+03    0.27000E+00  0.14988E-16 -0.27000E+00  0.00000E+00  0.00000E+00  0.00000E+00    0.59184E+02  0.12127E+02 -0.71311E+02  0.17288E+00  0.59118E+00 -0.33511E+01      298.00
  0.31805E+00  0.11467E+03    0.28000E+00  0.15543E-16 -0.28000E+00  0.00000E+00  0.00000E+00  0.00000E+00    0.59211E+02  0.12134E+02 -0.71345E+02  0.16169E+00  0.60131E+00 -0.32669E+01      298.00
  0.32944E+00  0.11470E+03    0.29000E+00  0.16098E-16 -0.29000E+00  0.00000E+00  0.00000E+00  0.00000E+00    0.59271E+02  0.12075E+02 -0.71346E+02  0.17065E+00  0.60599E+00 -0.31790E+01      298.00
  0.34083E+00  0.11477E+03    0.30000E+00  0.16653E-16 -0.30000E+00  0.00000E+00  0.00000E+00  0.00000E+00    0.59272E+02  0.12149E+02 -0.71420E+02  0.20058E+00  0.61403E+00 -0.30229E+01      298.00
  0.35222E+00  0.11483E+03    0.31000E+00  0.17208E-16 -0.31000E+00  0.00000E+00  0.00000E+00  0.00000E+00    0.59318E+02  0.12138E+02 -0.71456E+02  0.18773E+00  0.62285E+00 -0.29431E+01      298.00
  0.36360E+00  0.11487E+03    0.32000E+00  0.17764E-16 -0.32000E+00  0.00000E+00  0.00000E+00  0.00000E+00    0.59377E+02  0.12089E+02 -0.71465E+02  0.19664E+00  0.62748E+00 -0.28597E+01      298.00
  0.37500E+00  0.11496E+03    0.33000E+00  0.18319E-16 -0.33000E+00  0.00000E+00  0.00000E+00  0.00000E+00    0.59413E+02  0.12122E+02 -0.71535E+02  0.22468E+00  0.63138E+00 -0.27726E+01      298.00
  0.38639E+00  0.11499E+03    0.34000E+00  0.18874E-16 -0.34000E+00  0.00000E+00  0.00000E+00  0.00000E+00    0.59433E+02  0.12131E+02 -0.71564E+02  0.21289E+00  0.64250E+00 -0.26474E+01      298.00
  0.39778E+00  0.11505E+03    0.35000E+00  0.19429E-16 -0.35000E+00  0.00000E+00  0.00000E+00  0.00000E+00    0.59446E+02  0.12170E+02 -0.71616E+02  0.24310E+00  0.64665E+00 -0.25561E+01      298.00
  0.40917E+00  0.11510E+03    0.36000E+00  0.19984E-16 -0.36000E+00  0.00000E+00  0.00000E+00  0.00000E+00    0.59484E+02  0.12164E+02 -0.71647E+02  0.23017E+00  0.65646E+00 -0.24429E+01      298.00
  0.42056E+00  0.11515E+03    0.37000E+00  0.20539E-16 -0.37000E+00  0.00000E+00  0.00000E+00  0.00000E+00    0.59484E+02  0.12214E+02 -0.71698E+02  0.26111E+00  0.66068E+00 -0.23572E+01      298.00
