     Evm         C11  C22  C33  C23  C13  C12   C44  C55  C66                                                                   A1  A2  A3
     0.07416     0.5829E+05  0.5843E+05  0.5847E+05  0.2325E+05  0.2364E+05  0.2405E+05  0.1738E+05  0.1732E+05  0.1704E+05     0.6487E-05  0.7122E-05  0.8065E-05
     0.07665     0.5829E+05  0.5843E+05  0.5847E+05  0.2325E+05  0.2364E+05  0.2405E+05  0.1738E+05  0.1732E+05  0.1704E+05     0.6487E-05  0.7122E-05  0.8065E-05
     0.07914     0.5828E+05  0.5843E+05  0.5847E+05  0.2325E+05  0.2364E+05  0.2405E+05  0.1738E+05  0.1732E+05  0.1704E+05     0.6487E-05  0.7122E-05  0.8064E-05
     0.08162     0.5828E+05  0.5843E+05  0.5847E+05  0.2325E+05  0.2364E+05  0.2405E+05  0.1738E+05  0.1732E+05  0.1704E+05     0.6487E-05  0.7122E-05  0.8064E-05
     0.08411     0.5828E+05  0.5843E+05  0.5847E+05  0.2325E+05  0.2364E+05  0.2405E+05  0.1738E+05  0.1732E+05  0.1704E+05     0.6487E-05  0.7123E-05  0.8064E-05
     0.08660     0.5828E+05  0.5843E+05  0.5847E+05  0.2325E+05  0.2364E+05  0.2405E+05  0.1738E+05  0.1732E+05  0.1704E+05     0.6487E-05  0.7123E-05  0.8064E-05
     0.08908     0.5828E+05  0.5843E+05  0.5847E+05  0.2325E+05  0.2364E+05  0.2405E+05  0.1738E+05  0.1732E+05  0.1704E+05     0.6487E-05  0.7123E-05  0.8064E-05
     0.09157     0.5828E+05  0.5843E+05  0.5847E+05  0.2325E+05  0.2364E+05  0.2405E+05  0.1738E+05  0.1732E+05  0.1704E+05     0.6487E-05  0.7123E-05  0.8064E-05
     0.09406     0.5828E+05  0.5843E+05  0.5847E+05  0.2325E+05  0.2364E+05  0.2405E+05  0.1738E+05  0.1732E+05  0.1704E+05     0.6487E-05  0.7123E-05  0.8064E-05
     0.09655     0.5828E+05  0.5843E+05  0.5847E+05  0.2325E+05  0.2364E+05  0.2405E+05  0.1738E+05  0.1732E+05  0.1704E+05     0.6487E-05  0.7123E-05  0.8064E-05
     0.09903     0.5828E+05  0.5843E+05  0.5847E+05  0.2325E+05  0.2364E+05  0.2405E+05  0.1738E+05  0.1732E+05  0.1705E+05     0.6487E-05  0.7123E-05  0.8064E-05
     0.10152     0.5828E+05  0.5843E+05  0.5847E+05  0.2325E+05  0.2364E+05  0.2405E+05  0.1738E+05  0.1732E+05  0.1705E+05     0.6487E-05  0.7123E-05  0.8064E-05
     0.10401     0.5828E+05  0.5843E+05  0.5847E+05  0.2325E+05  0.2364E+05  0.2405E+05  0.1738E+05  0.1732E+05  0.1705E+05     0.6487E-05  0.7123E-05  0.8064E-05
     0.10650     0.5828E+05  0.5843E+05  0.5847E+05  0.2325E+05  0.2364E+05  0.2405E+05  0.1738E+05  0.1732E+05  0.1705E+05     0.6487E-05  0.7123E-05  0.8064E-05
     0.10899     0.5828E+05  0.5843E+05  0.5847E+05  0.2325E+05  0.2364E+05  0.2405E+05  0.1738E+05  0.1733E+05  0.1705E+05     0.6487E-05  0.7123E-05  0.8064E-05
     0.11148     0.5828E+05  0.5843E+05  0.5847E+05  0.2325E+05  0.2365E+05  0.2405E+05  0.1738E+05  0.1733E+05  0.1705E+05     0.6487E-05  0.7123E-05  0.8064E-05
     0.11397     0.5828E+05  0.5843E+05  0.5846E+05  0.2325E+05  0.2365E+05  0.2405E+05  0.1738E+05  0.1733E+05  0.1705E+05     0.6487E-05  0.7123E-05  0.8064E-05
     0.11646     0.5828E+05  0.5843E+05  0.5846E+05  0.2325E+05  0.2365E+05  0.2405E+05  0.1738E+05  0.1733E+05  0.1705E+05     0.6487E-05  0.7123E-05  0.8064E-05
     0.11895     0.5827E+05  0.5843E+05  0.5846E+05  0.2325E+05  0.2365E+05  0.2405E+05  0.1738E+05  0.1733E+05  0.1705E+05     0.6487E-05  0.7123E-05  0.8064E-05
     0.12144     0.5827E+05  0.5843E+05  0.5846E+05  0.2325E+05  0.2365E+05  0.2405E+05  0.1738E+05  0.1733E+05  0.1705E+05     0.6487E-05  0.7123E-05  0.8064E-05
     0.12393     0.5827E+05  0.5843E+05  0.5846E+05  0.2325E+05  0.2365E+05  0.2405E+05  0.1738E+05  0.1733E+05  0.1705E+05     0.6487E-05  0.7123E-05  0.8063E-05
     0.12393     0.5827E+05  0.5843E+05  0.5846E+05  0.2325E+05  0.2365E+05  0.2405E+05  0.1738E+05  0.1733E+05  0.1705E+05     0.6487E-05  0.7123E-05  0.8063E-05
