    epsacu     sdev1     sdev2     sdev3     sdev4     sdev5     ddev1     ddev2     ddev3     ddev4     ddev5
     0.150     0.168     0.137     0.141     0.138     0.155     0.464     0.511     0.485     0.434     0.414
     0.150     0.157     0.131     0.135     0.136     0.152     0.484     0.524     0.504     0.481     0.461
     0.150     0.153     0.128     0.132     0.134     0.151     0.499     0.532     0.513     0.510     0.490
     0.150     0.151     0.127     0.130     0.133     0.150     0.505     0.536     0.512     0.523     0.501
     0.150     0.152     0.128     0.132     0.134     0.151     0.496     0.532     0.501     0.526     0.492
     0.150     0.155     0.130     0.134     0.138     0.152     0.477     0.523     0.476     0.518     0.464
     0.150     0.166     0.137     0.138     0.145     0.157     0.453     0.509     0.434     0.499     0.418
     0.150     0.190     0.140     0.126     0.149     0.157     0.476     0.473     0.367     0.458     0.374
     0.150     0.197     0.135     0.110     0.142     0.144     0.518     0.416     0.326     0.409     0.343
     0.150     0.197     0.137     0.116     0.139     0.131     0.517     0.368     0.327     0.367     0.302
     0.150     0.201     0.151     0.147     0.148     0.120     0.485     0.328     0.355     0.333     0.248
     0.150     0.212     0.190     0.216     0.191     0.107     0.432     0.287     0.394     0.324     0.182
     0.150     0.245     0.247     0.321     0.342     0.077     0.387     0.224     0.385     0.405     0.104
     0.150     0.181     0.158     0.134     0.252     0.106     0.478     0.253     0.271     0.545     0.239
     0.150     0.165     0.105     0.085     0.193     0.115     0.514     0.253     0.228     0.563     0.314
     0.150     0.159     0.085     0.069     0.163     0.120     0.510     0.249     0.209     0.530     0.346
     0.150     0.154     0.077     0.064     0.139     0.124     0.482     0.252     0.202     0.471     0.359
     0.150     0.146     0.073     0.064     0.118     0.126     0.441     0.257     0.207     0.399     0.366
     0.150     0.135     0.067     0.062     0.097     0.126     0.426     0.257     0.218     0.347     0.389
     0.150     0.129     0.060     0.061     0.081     0.125     0.441     0.253     0.237     0.318     0.424
     0.150     0.125     0.056     0.062     0.070     0.124     0.460     0.249     0.261     0.296     0.452
    epsacu     sdev1     sdev2     sdev3     sdev4     sdev5     ddev1     ddev2     ddev3     ddev4     ddev5
     0.150     0.125     0.055     0.068     0.062     0.124     0.463     0.247     0.291     0.266     0.460
     0.160     0.125     0.056     0.066     0.062     0.124     0.457     0.252     0.285     0.263     0.454
     0.170     0.125     0.056     0.065     0.061     0.124     0.450     0.254     0.279     0.260     0.448
     0.180     0.125     0.056     0.063     0.060     0.124     0.444     0.253     0.273     0.257     0.442
     0.190     0.125     0.056     0.062     0.059     0.124     0.439     0.252     0.269     0.254     0.437
     0.200     0.125     0.056     0.061     0.058     0.125     0.434     0.253     0.266     0.251     0.433
     0.210     0.125     0.055     0.060     0.057     0.125     0.430     0.251     0.262     0.249     0.428
     0.220     0.126     0.055     0.059     0.056     0.125     0.426     0.251     0.260     0.248     0.424
     0.230     0.126     0.056     0.058     0.056     0.125     0.422     0.252     0.258     0.247     0.421
     0.240     0.126     0.056     0.057     0.055     0.126     0.419     0.253     0.257     0.247     0.417
     0.250     0.127     0.055     0.057     0.055     0.126     0.416     0.252     0.256     0.248     0.415
     0.260     0.127     0.055     0.056     0.055     0.126     0.414     0.252     0.256     0.248     0.412
     0.270     0.127     0.055     0.056     0.054     0.127     0.412     0.250     0.257     0.249     0.410
     0.280     0.128     0.056     0.055     0.054     0.127     0.410     0.255     0.259     0.251     0.408
     0.290     0.128     0.055     0.055     0.054     0.127     0.409     0.256     0.261     0.254     0.407
     0.300     0.128     0.055     0.055     0.054     0.127     0.407     0.257     0.263     0.256     0.405
    epsacu     sdev1     sdev2     sdev3     sdev4     sdev5     ddev1     ddev2     ddev3     ddev4     ddev5
     0.300     0.128     0.055     0.055     0.054     0.128     0.407     0.257     0.263     0.256     0.405
     0.300     0.130     0.058     0.059     0.055     0.129     0.397     0.260     0.272     0.255     0.395
     0.300     0.135     0.064     0.069     0.062     0.133     0.370     0.269     0.278     0.261     0.363
     0.300     0.155     0.076     0.086     0.079     0.143     0.342     0.274     0.278     0.276     0.311
     0.300     0.197     0.081     0.119     0.096     0.154     0.375     0.256     0.330     0.285     0.281
     0.300     0.207     0.083     0.149     0.097     0.152     0.433     0.250     0.445     0.291     0.291
     0.300     0.204     0.096     0.176     0.102     0.147     0.457     0.265     0.540     0.301     0.290
     0.300     0.198     0.123     0.209     0.116     0.139     0.442     0.292     0.599     0.318     0.266
     0.300     0.189     0.175     0.256     0.157     0.123     0.379     0.318     0.600     0.355     0.205
     0.300     0.189     0.229     0.282     0.251     0.081     0.290     0.312     0.483     0.435     0.100
     0.300     0.224     0.208     0.193     0.198     0.121     0.389     0.354     0.385     0.419     0.170
     0.300     0.239     0.164     0.144     0.130     0.149     0.495     0.384     0.371     0.354     0.257
     0.300     0.243     0.133     0.131     0.099     0.167     0.556     0.395     0.402     0.313     0.328
     0.300     0.244     0.109     0.129     0.101     0.183     0.550     0.385     0.437     0.326     0.370
     0.300     0.222     0.096     0.125     0.123     0.186     0.468     0.362     0.451     0.381     0.379
     0.300     0.177     0.089     0.110     0.119     0.172     0.489     0.395     0.495     0.484     0.469
     0.300     0.169     0.084     0.104     0.111     0.167     0.559     0.421     0.537     0.546     0.549
     0.300     0.166     0.083     0.102     0.107     0.165     0.598     0.434     0.563     0.577     0.591
     0.300     0.166     0.082     0.103     0.105     0.165     0.610     0.439     0.574     0.587     0.606
     0.300     0.166     0.083     0.105     0.104     0.165     0.596     0.434     0.566     0.577     0.592
     0.300     0.167     0.085     0.109     0.106     0.166     0.555     0.422     0.538     0.552     0.551
     0.300     0.177     0.089     0.119     0.113     0.172     0.482     0.394     0.477     0.509     0.469
     0.300     0.224     0.096     0.123     0.128     0.187     0.467     0.359     0.379     0.462     0.381
     0.300     0.241     0.110     0.103     0.130     0.182     0.551     0.387     0.338     0.449     0.378
     0.300     0.237     0.134     0.101     0.131     0.166     0.555     0.400     0.330     0.414     0.338
     0.300     0.232     0.163     0.128     0.143     0.150     0.493     0.390     0.363     0.380     0.268
     0.300     0.218     0.205     0.191     0.190     0.125     0.388     0.358     0.418     0.390     0.182
     0.300     0.191     0.228     0.248     0.284     0.083     0.294     0.309     0.431     0.484     0.105
     0.300     0.194     0.170     0.157     0.258     0.120     0.384     0.304     0.350     0.592     0.197
     0.300     0.202     0.117     0.115     0.209     0.136     0.446     0.278     0.312     0.589     0.256
     0.300     0.205     0.092     0.100     0.174     0.144     0.457     0.255     0.296     0.526     0.280
     0.300     0.206     0.081     0.095     0.144     0.148     0.431     0.248     0.285     0.428     0.283
     0.300     0.193     0.080     0.092     0.112     0.150     0.374     0.258     0.278     0.315     0.276
     0.300     0.152     0.075     0.076     0.081     0.139     0.344     0.275     0.270     0.266     0.308
     0.300     0.134     0.064     0.061     0.065     0.131     0.372     0.269     0.260     0.267     0.360
     0.300     0.129     0.057     0.055     0.057     0.128     0.398     0.260     0.258     0.262     0.393
