    epsacu     sdev1     sdev2     sdev3     sdev4     sdev5     ddev1     ddev2     ddev3     ddev4     ddev5
     0.000     0.250     0.460     0.005     0.005     0.018     0.375     0.677     0.006     0.006     0.034
     0.010     0.253     0.458     0.005     0.005     0.018     0.374     0.677     0.006     0.005     0.034
     0.020     0.256     0.457     0.005     0.005     0.018     0.373     0.676     0.006     0.005     0.034
     0.030     0.259     0.455     0.005     0.005     0.017     0.372     0.674     0.006     0.005     0.035
     0.040     0.262     0.454     0.004     0.005     0.017     0.371     0.673     0.006     0.006     0.035
     0.050     0.265     0.452     0.004     0.005     0.017     0.370     0.672     0.005     0.006     0.035
     0.060     0.269     0.451     0.004     0.005     0.017     0.368     0.670     0.005     0.006     0.036
     0.070     0.272     0.450     0.004     0.005     0.017     0.367     0.668     0.005     0.006     0.036
     0.080     0.275     0.448     0.004     0.005     0.017     0.366     0.666     0.005     0.006     0.037
     0.090     0.278     0.447     0.004     0.005     0.018     0.364     0.664     0.005     0.006     0.038
     0.100     0.281     0.446     0.004     0.005     0.018     0.362     0.661     0.005     0.006     0.038
     0.110     0.284     0.445     0.004     0.005     0.018     0.360     0.659     0.005     0.006     0.039
     0.120     0.287     0.445     0.004     0.005     0.019     0.357     0.656     0.005     0.006     0.040
     0.130     0.290     0.444     0.004     0.005     0.019     0.355     0.653     0.004     0.006     0.041
     0.140     0.293     0.443     0.004     0.005     0.020     0.352     0.650     0.004     0.006     0.042
     0.150     0.296     0.442     0.003     0.005     0.021     0.350     0.647     0.004     0.006     0.042
     0.160     0.298     0.442     0.003     0.006     0.022     0.347     0.644     0.004     0.006     0.043
     0.170     0.301     0.441     0.003     0.006     0.022     0.344     0.640     0.004     0.006     0.044
     0.180     0.304     0.441     0.003     0.006     0.023     0.341     0.636     0.004     0.006     0.045
     0.190     0.306     0.440     0.003     0.006     0.024     0.338     0.633     0.004     0.006     0.046
     0.200     0.309     0.440     0.003     0.006     0.025     0.335     0.629     0.003     0.007     0.048
     0.210     0.311     0.439     0.003     0.006     0.026     0.332     0.625     0.003     0.007     0.049
     0.220     0.314     0.439     0.003     0.006     0.028     0.329     0.621     0.003     0.007     0.050
     0.230     0.316     0.439     0.003     0.006     0.029     0.325     0.617     0.003     0.007     0.051
     0.240     0.319     0.439     0.003     0.006     0.030     0.321     0.612     0.003     0.007     0.052
     0.250     0.321     0.439     0.002     0.006     0.032     0.318     0.608     0.003     0.007     0.053
     0.260     0.323     0.439     0.002     0.006     0.033     0.314     0.603     0.002     0.007     0.054
     0.270     0.325     0.439     0.002     0.006     0.034     0.310     0.598     0.002     0.007     0.055
     0.280     0.328     0.439     0.002     0.006     0.036     0.307     0.594     0.002     0.008     0.056
     0.290     0.330     0.439     0.002     0.006     0.038     0.303     0.589     0.002     0.008     0.057
     0.300     0.332     0.439     0.002     0.007     0.039     0.299     0.585     0.002     0.008     0.058
     0.310     0.333     0.439     0.002     0.007     0.041     0.295     0.580     0.002     0.008     0.059
     0.320     0.335     0.439     0.002     0.007     0.043     0.291     0.575     0.001     0.008     0.060
     0.330     0.337     0.439     0.002     0.007     0.044     0.287     0.570     0.001     0.008     0.061
     0.340     0.339     0.439     0.002     0.007     0.046     0.283     0.565     0.001     0.009     0.062
     0.350     0.340     0.439     0.001     0.007     0.048     0.279     0.561     0.001     0.009     0.063
     0.360     0.342     0.439     0.001     0.007     0.050     0.275     0.556     0.001     0.009     0.064
     0.370     0.344     0.440     0.001     0.007     0.051     0.271     0.551     0.001     0.009     0.065
     0.380     0.345     0.440     0.001     0.007     0.053     0.267     0.546     0.000     0.009     0.065
     0.390     0.346     0.440     0.001     0.007     0.055     0.264     0.543     0.000     0.009     0.066
     0.400     0.348     0.441     0.001     0.007     0.057     0.260     0.538     0.000     0.010     0.067
     0.410     0.349     0.441     0.001     0.007     0.059     0.255     0.532     0.000     0.010     0.068
     0.420     0.350     0.441     0.001     0.007     0.061     0.252     0.529     0.000     0.010     0.068
     0.430     0.351     0.442     0.001     0.007     0.063     0.247     0.523     0.000     0.010     0.069
     0.440     0.352     0.442     0.000     0.008     0.065     0.244     0.519     0.000     0.010     0.069
     0.450     0.353     0.443     0.000     0.008     0.066     0.239     0.513     0.001     0.010     0.070
     0.460     0.354     0.443     0.000     0.008     0.068     0.236     0.510     0.001     0.011     0.070
     0.470     0.355     0.443     0.000     0.008     0.070     0.231     0.505     0.001     0.011     0.071
     0.480     0.356     0.444     0.000     0.008     0.071     0.227     0.499     0.001     0.011     0.071
     0.490     0.356     0.444     0.000     0.008     0.073     0.224     0.496     0.001     0.011     0.071
     0.500     0.357     0.445     0.000     0.008     0.075     0.220     0.491     0.001     0.011     0.071
