  STRAIN   AVACS   MODE1   MODE2   MODE3
   0.000  14.000   0.505   0.073   0.363
   0.010  14.000   0.503   0.073   0.364
   0.020  14.000   0.501   0.074   0.364
   0.030  14.000   0.499   0.075   0.365
   0.040  14.000   0.497   0.075   0.365
   0.050  14.000   0.495   0.076   0.366
   0.060  14.000   0.493   0.077   0.366
   0.070  14.000   0.491   0.077   0.367
   0.080  14.000   0.488   0.078   0.367
   0.090  14.000   0.485   0.079   0.368
   0.100  14.000   0.483   0.080   0.368
   0.110  14.000   0.480   0.080   0.369
   0.120  14.000   0.476   0.081   0.369
   0.130  14.000   0.473   0.082   0.370
   0.140  14.000   0.470   0.083   0.370
   0.150  13.000   0.466   0.084   0.371
   0.160  12.000   0.463   0.085   0.371
   0.170  12.000   0.459   0.086   0.371
   0.180  12.000   0.455   0.087   0.372
   0.190  12.000   0.451   0.088   0.372
   0.200  12.000   0.447   0.089   0.373
   0.210  12.000   0.442   0.091   0.374
   0.220  12.000   0.438   0.092   0.374
   0.230  12.000   0.433   0.093   0.375
   0.240  12.000   0.429   0.094   0.375
   0.250  12.000   0.424   0.096   0.375
   0.260  12.000   0.419   0.097   0.376
   0.270  12.000   0.414   0.098   0.376
   0.280  12.000   0.410   0.100   0.377
   0.290  12.000   0.405   0.101   0.377
   0.300  12.000   0.400   0.102   0.378
   0.310  12.000   0.394   0.104   0.378
   0.320  12.000   0.389   0.105   0.379
   0.330  12.000   0.384   0.107   0.379
   0.340  12.000   0.379   0.108   0.380
   0.350  12.000   0.374   0.110   0.380
   0.360  12.000   0.369   0.111   0.381
   0.370  12.000   0.363   0.113   0.381
   0.380  13.000   0.358   0.115   0.382
   0.390  13.000   0.353   0.117   0.383
   0.400  14.000   0.348   0.118   0.383
   0.410  14.000   0.342   0.120   0.383
   0.420  14.000   0.337   0.121   0.384
   0.430  14.000   0.332   0.123   0.384
   0.440  14.000   0.327   0.125   0.385
   0.450  14.000   0.321   0.126   0.385
   0.460  14.000   0.316   0.128   0.386
   0.470  14.000   0.311   0.130   0.386
   0.480  14.000   0.306   0.131   0.386
   0.490  14.000   0.301   0.133   0.387
   0.500  14.000   0.296   0.135   0.387
