
*******   STEP   1      *** NEFF=10 CALCULATION                
    1   0.490E-02   0.414E-02   0.558E-02
    2   0.360E-02   0.633E-02   0.419E-02
    3   0.144E-02   0.474E-02   0.116E-02
    4   0.632E-03   0.269E-02   0.834E-03
    5   0.527E-03   0.134E-02   0.118E-02
    6   0.415E-03   0.104E-02   0.656E-03
    7   0.421E-03   0.955E-03   0.359E-03

*******   STEP   2      *** NEFF=10 CALCULATION                
    1   0.634E-03   0.149E-02   0.157E-02
    2   0.366E-03   0.158E-02   0.772E-03
    3   0.631E-03   0.110E-02   0.690E-03
    4   0.235E-03   0.712E-03   0.173E-03

*******   STEP   3      *** NEFF=10 CALCULATION                
    1   0.576E-03   0.932E-03   0.142E-02
    2   0.203E-03   0.114E-02   0.586E-03
    3   0.567E-03   0.830E-03   0.676E-03

*******   STEP   4      *** NEFF=10 CALCULATION                
    1   0.635E-03   0.146E-02   0.165E-02
    2   0.497E-03   0.156E-02   0.902E-03
    3   0.633E-03   0.116E-02   0.601E-03
    4   0.244E-03   0.854E-03   0.310E-03

*******   STEP   5      *** NEFF=10 CALCULATION                
    1   0.467E-03   0.798E-03   0.108E-02
    2   0.111E-03   0.863E-03   0.375E-03

*******   STEP   6      *** NEFF=10 CALCULATION                
    1   0.121E-02   0.107E-02   0.115E-02
    2   0.354E-03   0.121E-02   0.506E-03
    3   0.438E-03   0.105E-02   0.383E-03
    4   0.140E-03   0.811E-03   0.280E-03
