  STRAIN   AVACS   MODE1   MODE2   MODE3   MODE4
   0.000   2.000   0.002   0.000   0.000   0.057
   0.010   2.000   0.002   0.000   0.000   0.057
   0.020   2.000   0.002   0.000   0.000   0.058
   0.030   2.000   0.002   0.000   0.000   0.059
   0.040   2.000   0.002   0.000   0.000   0.060
   0.050   2.000   0.002   0.000   0.000   0.061
   0.060   2.000   0.002   0.000   0.000   0.062
   0.070   2.000   0.002   0.000   0.000   0.063
   0.080   2.000   0.002   0.000   0.000   0.064
   0.090   2.000   0.002   0.000   0.000   0.066
   0.100   2.000   0.002   0.000   0.000   0.067
   0.110   2.000   0.002   0.000   0.000   0.069
   0.120   2.000   0.002   0.000   0.000   0.071
   0.130   2.000   0.002   0.000   0.000   0.073
   0.140   2.000   0.002   0.000   0.000   0.075
   0.150   2.000   0.002   0.000   0.000   0.077
   0.160   2.000   0.002   0.000   0.000   0.079
   0.170   2.000   0.002   0.000   0.000   0.082
   0.180   2.000   0.002   0.000   0.000   0.084
   0.190   2.000   0.002   0.000   0.000   0.086
   0.200   2.000   0.002   0.000   0.000   0.089
   0.210   2.000   0.002   0.000   0.000   0.091
   0.220   2.000   0.002   0.000   0.000   0.094
   0.230   2.000   0.002   0.000   0.000   0.097
   0.240   2.000   0.002   0.000   0.000   0.100
   0.250   2.000   0.002   0.000   0.000   0.102
   0.260   2.000   0.002   0.000   0.000   0.105
   0.270   2.000   0.003   0.000   0.000   0.108
   0.280   2.000   0.003   0.000   0.000   0.111
   0.290   2.000   0.003   0.000   0.000   0.114
   0.300   2.000   0.003   0.000   0.000   0.118
   0.310   2.000   0.003   0.000   0.000   0.121
   0.320   2.000   0.003   0.000   0.000   0.124
   0.330   2.000   0.003   0.000   0.000   0.127
   0.340   2.000   0.003   0.000   0.000   0.130
   0.350   2.000   0.003   0.000   0.000   0.133
   0.360   2.000   0.003   0.000   0.000   0.136
   0.370   2.000   0.003   0.000   0.000   0.139
   0.380   2.000   0.003   0.000   0.000   0.142
   0.390   2.000   0.003   0.000   0.000   0.145
   0.400   2.000   0.003   0.000   0.000   0.148
   0.410   2.000   0.003   0.000   0.000   0.152
   0.420   2.000   0.003   0.000   0.000   0.154
   0.430   2.000   0.003   0.000   0.000   0.158
   0.440   2.000   0.003   0.000   0.000   0.160
   0.450   2.000   0.003   0.000   0.000   0.164
   0.460   2.000   0.003   0.000   0.000   0.166
   0.470   2.000   0.003   0.000   0.000   0.170
   0.480   2.000   0.003   0.000   0.000   0.173
   0.490   2.000   0.003   0.000   0.000   0.175
   0.500   2.000   0.004   0.000   0.000   0.179
