        EPSvm          Svm        SDEV1    SDEV2    SDEV3    SDEV4    SDEV5    SDEV6        DDEV1    DDEV2    DDEV3    DDEV4    DDEV5    DDEV6
  0.10848E+01  0.26527E+01        0.149    0.096    0.060    0.053    0.179    0.000        0.129    0.174    0.153    0.339    0.252    0.000
  0.11078E+01  0.26546E+01        0.150    0.096    0.060    0.053    0.182    0.000        0.126    0.169    0.153    0.341    0.252    0.000
  0.11309E+01  0.26565E+01        0.151    0.095    0.060    0.052    0.185    0.000        0.123    0.163    0.152    0.343    0.252    0.000
  0.11539E+01  0.26584E+01        0.152    0.095    0.060    0.052    0.188    0.000        0.120    0.158    0.152    0.345    0.252    0.000
  0.11770E+01  0.26603E+01        0.153    0.094    0.060    0.052    0.191    0.000        0.117    0.153    0.151    0.346    0.252    0.000
  0.12000E+01  0.26622E+01        0.155    0.093    0.060    0.051    0.195    0.000        0.114    0.147    0.150    0.348    0.252    0.000
  0.12230E+01  0.26642E+01        0.156    0.093    0.060    0.051    0.198    0.000        0.111    0.143    0.150    0.349    0.253    0.000
  0.12460E+01  0.26662E+01        0.157    0.092    0.060    0.051    0.201    0.000        0.108    0.138    0.149    0.351    0.253    0.000
  0.12691E+01  0.26683E+01        0.158    0.092    0.060    0.050    0.205    0.000        0.106    0.133    0.149    0.352    0.253    0.000
  0.12921E+01  0.26704E+01        0.159    0.091    0.060    0.050    0.208    0.000        0.103    0.129    0.148    0.354    0.253    0.000
  0.13151E+01  0.26717E+01        0.160    0.090    0.060    0.050    0.212    0.000        0.101    0.124    0.148    0.355    0.253    0.000
  0.13381E+01  0.26741E+01        0.161    0.090    0.060    0.049    0.216    0.000        0.098    0.120    0.147    0.356    0.253    0.000
  0.13611E+01  0.26764E+01        0.162    0.089    0.060    0.049    0.219    0.000        0.096    0.116    0.146    0.357    0.253    0.000
  0.13840E+01  0.26787E+01        0.163    0.089    0.060    0.049    0.223    0.000        0.093    0.112    0.146    0.358    0.253    0.000
  0.14070E+01  0.26812E+01        0.164    0.088    0.060    0.048    0.227    0.000        0.091    0.108    0.145    0.358    0.253    0.000
  0.14300E+01  0.26838E+01        0.165    0.087    0.060    0.048    0.231    0.000        0.089    0.105    0.145    0.359    0.252    0.000
  0.14530E+01  0.26865E+01        0.166    0.086    0.060    0.047    0.235    0.000        0.087    0.101    0.144    0.360    0.252    0.000
  0.14759E+01  0.26890E+01        0.167    0.086    0.060    0.047    0.239    0.000        0.085    0.098    0.144    0.360    0.252    0.000
  0.14988E+01  0.26918E+01        0.168    0.085    0.060    0.047    0.243    0.000        0.083    0.094    0.143    0.361    0.252    0.000
  0.15218E+01  0.26948E+01        0.169    0.084    0.060    0.046    0.248    0.000        0.081    0.091    0.143    0.361    0.252    0.000
  0.15447E+01  0.26978E+01        0.170    0.084    0.060    0.046    0.252    0.000        0.079    0.088    0.142    0.362    0.252    0.000
  0.15676E+01  0.27009E+01        0.171    0.083    0.059    0.046    0.257    0.000        0.077    0.085    0.142    0.362    0.252    0.000
  0.15905E+01  0.27040E+01        0.172    0.082    0.059    0.045    0.261    0.000        0.075    0.082    0.141    0.363    0.252    0.000
  0.16134E+01  0.27073E+01        0.173    0.081    0.059    0.045    0.266    0.000        0.073    0.079    0.141    0.363    0.251    0.000
  0.16363E+01  0.27107E+01        0.174    0.081    0.059    0.044    0.271    0.000        0.071    0.077    0.140    0.363    0.251    0.000
  0.16592E+01  0.27143E+01        0.175    0.080    0.059    0.044    0.276    0.000        0.070    0.074    0.140    0.364    0.251    0.000
  0.16820E+01  0.27177E+01        0.176    0.079    0.058    0.044    0.281    0.000        0.068    0.071    0.139    0.364    0.251    0.000
  0.17049E+01  0.27212E+01        0.177    0.079    0.058    0.043    0.286    0.000        0.066    0.069    0.139    0.365    0.250    0.000
  0.17277E+01  0.27248E+01        0.178    0.078    0.058    0.043    0.291    0.000        0.065    0.066    0.138    0.365    0.250    0.000
  0.17506E+01  0.27285E+01        0.179    0.077    0.057    0.043    0.296    0.000        0.063    0.064    0.138    0.365    0.250    0.000
  0.17734E+01  0.27324E+01        0.180    0.077    0.057    0.042    0.301    0.000        0.062    0.062    0.137    0.366    0.249    0.000
  0.17962E+01  0.27362E+01        0.182    0.076    0.056    0.042    0.307    0.000        0.060    0.060    0.136    0.366    0.249    0.000
  0.18190E+01  0.27418E+01        0.183    0.076    0.056    0.042    0.312    0.000        0.059    0.057    0.136    0.366    0.248    0.000
  0.18418E+01  0.27450E+01        0.184    0.075    0.055    0.041    0.318    0.000        0.057    0.055    0.135    0.366    0.248    0.000
  0.18646E+01  0.27481E+01        0.184    0.075    0.055    0.041    0.319    0.000        0.056    0.055    0.135    0.364    0.249    0.000
  0.18873E+01  0.27479E+01        0.183    0.074    0.056    0.041    0.320    0.000        0.056    0.054    0.136    0.362    0.250    0.000
  0.19101E+01  0.27508E+01        0.182    0.073    0.056    0.040    0.322    0.000        0.055    0.053    0.136    0.360    0.251    0.000
  0.19328E+01  0.27506E+01        0.182    0.073    0.056    0.040    0.323    0.000        0.054    0.052    0.136    0.359    0.252    0.000
  0.19555E+01  0.27533E+01        0.182    0.072    0.056    0.040    0.324    0.000        0.054    0.051    0.136    0.357    0.253    0.000
  0.19782E+01  0.27531E+01        0.181    0.071    0.056    0.040    0.326    0.000        0.053    0.051    0.136    0.356    0.254    0.000
  0.20009E+01  0.27558E+01        0.181    0.070    0.056    0.039    0.327    0.000        0.053    0.050    0.136    0.355    0.255    0.000
  0.20236E+01  0.27556E+01        0.180    0.070    0.056    0.039    0.329    0.000        0.052    0.049    0.136    0.354    0.256    0.000
  0.20463E+01  0.27582E+01        0.180    0.069    0.056    0.039    0.330    0.000        0.051    0.048    0.136    0.352    0.257    0.000
  0.20689E+01  0.27581E+01        0.179    0.068    0.056    0.039    0.332    0.000        0.051    0.048    0.136    0.351    0.258    0.000
  0.20916E+01  0.27607E+01        0.179    0.067    0.056    0.039    0.334    0.000        0.050    0.047    0.136    0.350    0.259    0.000
  0.21142E+01  0.27606E+01        0.179    0.067    0.056    0.038    0.335    0.000        0.050    0.047    0.136    0.349    0.260    0.000
  0.21368E+01  0.27631E+01        0.179    0.066    0.056    0.038    0.337    0.000        0.049    0.046    0.135    0.348    0.260    0.000
  0.21595E+01  0.27630E+01        0.178    0.065    0.056    0.038    0.338    0.000        0.049    0.045    0.135    0.347    0.261    0.000
  0.21821E+01  0.27656E+01        0.178    0.064    0.056    0.038    0.340    0.000        0.048    0.045    0.135    0.345    0.262    0.000
  0.22047E+01  0.27654E+01        0.177    0.064    0.056    0.038    0.341    0.000        0.048    0.044    0.135    0.345    0.263    0.000
  0.22272E+01  0.27680E+01        0.177    0.063    0.056    0.037    0.343    0.000        0.047    0.043    0.134    0.343    0.263    0.000
  0.22498E+01  0.27679E+01        0.177    0.062    0.056    0.037    0.345    0.000        0.047    0.043    0.134    0.342    0.264    0.000
  0.22724E+01  0.27725E+01        0.177    0.061    0.056    0.037    0.347    0.000        0.047    0.042    0.134    0.341    0.265    0.000
  0.22949E+01  0.27709E+01        0.176    0.061    0.056    0.037    0.348    0.000        0.046    0.042    0.133    0.340    0.266    0.000
