     Evm         C11  C22  C33  C23  C13  C12   C44  C55  C66                                                                   A1  A2  A3
     0.69260     0.2755E+03  0.2757E+03  0.2707E+03  0.1050E+03  0.1052E+03  0.1003E+03  0.6658E+02  0.7107E+02  0.7179E+02     0.1000E-05  0.1000E-05  0.1000E-05
     0.71569     0.2761E+03  0.2764E+03  0.2711E+03  0.1048E+03  0.1051E+03  0.9982E+02  0.6628E+02  0.7096E+02  0.7153E+02     0.1000E-05  0.1000E-05  0.1000E-05
     0.73877     0.2766E+03  0.2770E+03  0.2714E+03  0.1046E+03  0.1050E+03  0.9939E+02  0.6598E+02  0.7085E+02  0.7128E+02     0.1000E-05  0.1000E-05  0.1000E-05
     0.76185     0.2771E+03  0.2776E+03  0.2717E+03  0.1044E+03  0.1049E+03  0.9897E+02  0.6567E+02  0.7074E+02  0.7103E+02     0.1000E-05  0.1000E-05  0.1000E-05
     0.78492     0.2776E+03  0.2783E+03  0.2720E+03  0.1042E+03  0.1048E+03  0.9856E+02  0.6538E+02  0.7063E+02  0.7078E+02     0.1000E-05  0.1000E-05  0.1000E-05
     0.80800     0.2781E+03  0.2789E+03  0.2723E+03  0.1039E+03  0.1047E+03  0.9815E+02  0.6509E+02  0.7053E+02  0.7054E+02     0.1000E-05  0.1000E-05  0.1000E-05
     0.83108     0.2786E+03  0.2795E+03  0.2726E+03  0.1037E+03  0.1047E+03  0.9775E+02  0.6481E+02  0.7044E+02  0.7030E+02     0.1000E-05  0.1000E-05  0.1000E-05
     0.85415     0.2791E+03  0.2801E+03  0.2729E+03  0.1035E+03  0.1046E+03  0.9736E+02  0.6453E+02  0.7036E+02  0.7006E+02     0.1000E-05  0.1000E-05  0.1000E-05
     0.87723     0.2795E+03  0.2807E+03  0.2732E+03  0.1033E+03  0.1045E+03  0.9697E+02  0.6426E+02  0.7027E+02  0.6983E+02     0.1000E-05  0.1000E-05  0.1000E-05
     0.90030     0.2800E+03  0.2813E+03  0.2735E+03  0.1031E+03  0.1044E+03  0.9660E+02  0.6400E+02  0.7020E+02  0.6960E+02     0.1000E-05  0.1000E-05  0.1000E-05
     0.92337     0.2804E+03  0.2819E+03  0.2737E+03  0.1029E+03  0.1044E+03  0.9623E+02  0.6374E+02  0.7013E+02  0.6937E+02     0.1000E-05  0.1000E-05  0.1000E-05
