
*******   STEP  66      *** TANGENT CALCULATION                
    8   0.137E-03   0.689E-03   0.770E-04

*******   STEP  67      *** TANGENT CALCULATION                
    8   0.111E-03   0.485E-03   0.893E-04

*******   STEP  68      *** TANGENT CALCULATION                
    8   0.870E-04   0.301E-03   0.997E-04

*******   STEP  69      *** TANGENT CALCULATION                
    7   0.119E-03   0.779E-03   0.323E-04

*******   STEP  70      *** TANGENT CALCULATION                
    7   0.125E-03   0.574E-03   0.323E-04

*******   STEP  71      *** TANGENT CALCULATION                
    7   0.119E-03   0.304E-03   0.799E-04

*******   STEP  72      *** TANGENT CALCULATION                
    7   0.945E-04   0.134E-03   0.124E-03

*******   STEP  73      *** TANGENT CALCULATION                
    6   0.187E-03   0.813E-03   0.311E-04

*******   STEP  74      *** TANGENT CALCULATION                
    6   0.207E-03   0.621E-03   0.348E-04

*******   STEP  75      *** TANGENT CALCULATION                
    6   0.214E-03   0.388E-03   0.291E-04

*******   STEP  76      *** TANGENT CALCULATION                
    6   0.215E-03   0.315E-03   0.572E-04

*******   STEP  77      *** TANGENT CALCULATION                
    6   0.214E-03   0.465E-03   0.100E-03

*******   STEP  78      *** TANGENT CALCULATION                
    6   0.213E-03   0.703E-03   0.147E-03

*******   STEP  79      *** TANGENT CALCULATION                
    6   0.210E-03   0.943E-03   0.185E-03

*******   STEP  80      *** TANGENT CALCULATION                
    9   0.204E-03   0.404E-03   0.178E-03

*******   STEP  81      *** TANGENT CALCULATION                
    5   0.403E-03   0.792E-03   0.231E-03

*******   STEP  82      *** TANGENT CALCULATION                
    5   0.290E-03   0.779E-03   0.413E-03

*******   STEP  83      *** TANGENT CALCULATION                
    6   0.335E-03   0.928E-03   0.285E-03

*******   STEP  84      *** TANGENT CALCULATION                
    5   0.256E-03   0.640E-03   0.530E-03

*******   STEP  85      *** TANGENT CALCULATION                
    6   0.373E-03   0.825E-03   0.294E-03

*******   STEP  86      *** TANGENT CALCULATION                
    5   0.233E-03   0.608E-03   0.613E-03

*******   STEP  87      *** TANGENT CALCULATION                
    6   0.406E-03   0.770E-03   0.291E-03

*******   STEP  88      *** TANGENT CALCULATION                
    5   0.226E-03   0.638E-03   0.673E-03

*******   STEP  89      *** TANGENT CALCULATION                
    6   0.433E-03   0.746E-03   0.287E-03

*******   STEP  90      *** TANGENT CALCULATION                
    5   0.228E-03   0.693E-03   0.718E-03

*******   STEP  91      *** TANGENT CALCULATION                
    6   0.455E-03   0.738E-03   0.284E-03

*******   STEP  92      *** TANGENT CALCULATION                
    5   0.234E-03   0.757E-03   0.751E-03

*******   STEP  93      *** TANGENT CALCULATION                
    6   0.472E-03   0.739E-03   0.281E-03

*******   STEP  94      *** TANGENT CALCULATION                
    5   0.242E-03   0.826E-03   0.777E-03

*******   STEP  95      *** TANGENT CALCULATION                
    6   0.486E-03   0.743E-03   0.279E-03

*******   STEP  96      *** TANGENT CALCULATION                
    5   0.250E-03   0.898E-03   0.797E-03

*******   STEP  97      *** TANGENT CALCULATION                
    6   0.499E-03   0.748E-03   0.277E-03

*******   STEP  98      *** TANGENT CALCULATION                
    5   0.258E-03   0.973E-03   0.814E-03

*******   STEP  99      *** TANGENT CALCULATION                
    6   0.509E-03   0.754E-03   0.274E-03

*******   STEP 100      *** TANGENT CALCULATION                
   10   0.442E-03   0.501E-03   0.203E-03

*******   STEP 101      *** TANGENT CALCULATION                
    6   0.357E-03   0.582E-03   0.330E-03
