  STRAIN   AVACS   MODE1   MODE2   MODE3   MODE4
   0.000   1.984   0.002   0.001   0.000   0.012
   0.010   1.978   0.002   0.000   0.000   0.011
   0.020   1.961   0.002   0.000   0.000   0.010
   0.030   1.946   0.002   0.000   0.000   0.009
   0.040   1.936   0.001   0.000   0.000   0.008
   0.050   1.927   0.001   0.000   0.000   0.007
   0.060   1.918   0.001   0.000   0.000   0.007
   0.070   1.914   0.001   0.000   0.000   0.006
   0.080   1.910   0.001   0.000   0.000   0.005
   0.090   1.906   0.001   0.000   0.000   0.005
   0.100   1.903   0.001   0.000   0.000   0.005
   0.110   1.898   0.001   0.000   0.000   0.004
   0.120   1.892   0.001   0.000   0.000   0.004
   0.130   1.882   0.001   0.000   0.000   0.004
   0.140   1.881   0.001   0.000   0.000   0.003
   0.150   1.879   0.001   0.000   0.000   0.003
   0.160   1.878   0.001   0.000   0.000   0.003
   0.170   1.877   0.001   0.000   0.000   0.003
   0.180   1.874   0.001   0.000   0.000   0.003
   0.190   1.871   0.000   0.000   0.000   0.003
   0.200   1.864   0.000   0.000   0.000   0.003
   0.210   1.864   0.000   0.000   0.000   0.002
   0.220   1.863   0.000   0.000   0.000   0.002
   0.230   1.866   0.000   0.000   0.000   0.002
   0.240   1.866   0.000   0.000   0.000   0.002
   0.250   1.866   0.000   0.000   0.000   0.002
   0.260   1.865   0.000   0.000   0.000   0.002
   0.270   1.860   0.000   0.000   0.000   0.002
   0.280   1.859   0.000   0.000   0.000   0.002
   0.290   1.859   0.000   0.000   0.000   0.002
   0.300   1.859   0.000   0.000   0.000   0.002
   0.310   1.860   0.000   0.000   0.000   0.002
   0.320   1.860   0.000   0.000   0.000   0.002
   0.330   1.861   0.000   0.000   0.000   0.002
   0.340   1.861   0.000   0.000   0.000   0.002
   0.350   1.862   0.000   0.000   0.000   0.002
   0.360   1.862   0.000   0.000   0.000   0.003
   0.370   1.863   0.000   0.000   0.000   0.003
   0.380   1.864   0.000   0.000   0.000   0.003
   0.390   1.865   0.000   0.000   0.000   0.003
   0.400   1.866   0.001   0.000   0.000   0.003
   0.410   1.867   0.001   0.000   0.000   0.003
   0.420   1.868   0.001   0.000   0.000   0.003
   0.430   1.871   0.001   0.000   0.000   0.003
   0.440   1.872   0.001   0.000   0.000   0.003
   0.450   1.874   0.001   0.000   0.000   0.004
   0.460   1.879   0.001   0.000   0.000   0.004
   0.470   1.881   0.001   0.000   0.000   0.004
   0.480   1.883   0.001   0.000   0.000   0.004
   0.490   1.884   0.001   0.000   0.000   0.004
   0.500   1.887   0.001   0.000   0.000   0.005
