    epsacu     sdev1     sdev2     sdev3     sdev4     sdev5     ddev1     ddev2     ddev3     ddev4     ddev5
     0.000     0.115     0.421     0.061     0.060     0.119     0.217     0.868     0.112     0.110     0.226
     0.010     0.113     0.418     0.061     0.060     0.117     0.211     0.872     0.115     0.112     0.220
     0.020     0.110     0.416     0.061     0.059     0.115     0.205     0.876     0.117     0.114     0.214
     0.030     0.108     0.413     0.061     0.059     0.112     0.199     0.879     0.119     0.116     0.208
     0.040     0.105     0.411     0.061     0.059     0.110     0.193     0.882     0.121     0.117     0.202
     0.050     0.103     0.408     0.061     0.058     0.108     0.186     0.884     0.123     0.119     0.196
     0.060     0.101     0.406     0.060     0.058     0.106     0.180     0.887     0.125     0.120     0.190
     0.070     0.098     0.403     0.060     0.057     0.103     0.174     0.890     0.127     0.121     0.184
     0.080     0.096     0.401     0.060     0.057     0.101     0.168     0.892     0.128     0.123     0.178
     0.090     0.093     0.399     0.059     0.056     0.098     0.162     0.894     0.130     0.124     0.171
     0.100     0.091     0.397     0.059     0.055     0.096     0.156     0.896     0.131     0.125     0.166
     0.110     0.089     0.395     0.058     0.055     0.094     0.150     0.898     0.133     0.126     0.160
     0.120     0.086     0.392     0.058     0.054     0.092     0.144     0.900     0.134     0.127     0.154
     0.130     0.084     0.390     0.057     0.053     0.089     0.138     0.901     0.135     0.128     0.148
     0.140     0.082     0.388     0.056     0.053     0.087     0.133     0.903     0.136     0.128     0.143
     0.150     0.079     0.387     0.055     0.052     0.085     0.127     0.904     0.137     0.129     0.137
     0.160     0.077     0.386     0.055     0.051     0.083     0.121     0.905     0.137     0.129     0.132
     0.170     0.075     0.384     0.054     0.050     0.081     0.116     0.906     0.138     0.130     0.126
     0.180     0.073     0.383     0.053     0.049     0.079     0.111     0.907     0.138     0.130     0.121
     0.190     0.071     0.381     0.052     0.048     0.077     0.106     0.908     0.138     0.130     0.116
     0.200     0.069     0.380     0.051     0.047     0.075     0.101     0.909     0.138     0.131     0.111
     0.210     0.067     0.379     0.049     0.046     0.073     0.096     0.909     0.138     0.130     0.106
     0.220     0.065     0.378     0.048     0.045     0.071     0.092     0.910     0.137     0.130     0.102
     0.230     0.063     0.377     0.047     0.044     0.069     0.088     0.910     0.136     0.130     0.097
     0.240     0.061     0.377     0.046     0.043     0.067     0.083     0.911     0.135     0.129     0.093
     0.250     0.060     0.376     0.045     0.042     0.066     0.079     0.911     0.134     0.128     0.088
     0.260     0.058     0.376     0.043     0.041     0.064     0.075     0.911     0.133     0.127     0.084
     0.270     0.056     0.375     0.042     0.040     0.062     0.072     0.911     0.132     0.125     0.080
     0.280     0.055     0.375     0.041     0.039     0.060     0.068     0.911     0.130     0.124     0.076
     0.290     0.053     0.375     0.039     0.037     0.059     0.065     0.911     0.128     0.122     0.072
     0.300     0.052     0.375     0.038     0.036     0.057     0.062     0.910     0.126     0.120     0.068
     0.310     0.050     0.376     0.037     0.035     0.056     0.058     0.909     0.123     0.118     0.065
     0.320     0.049     0.375     0.035     0.034     0.054     0.055     0.909     0.121     0.116     0.061
     0.330     0.048     0.376     0.034     0.033     0.053     0.052     0.908     0.119     0.114     0.058
     0.340     0.047     0.375     0.033     0.031     0.051     0.050     0.908     0.116     0.112     0.055
     0.350     0.045     0.377     0.031     0.030     0.050     0.047     0.907     0.113     0.109     0.052
     0.360     0.044     0.377     0.030     0.029     0.049     0.045     0.906     0.111     0.107     0.049
     0.370     0.043     0.377     0.029     0.028     0.047     0.042     0.905     0.108     0.105     0.046
     0.380     0.042     0.378     0.028     0.027     0.046     0.040     0.904     0.105     0.102     0.044
     0.390     0.041     0.379     0.027     0.026     0.045     0.038     0.903     0.103     0.100     0.041
     0.400     0.040     0.379     0.025     0.025     0.044     0.036     0.902     0.100     0.098     0.039
     0.410     0.039     0.380     0.024     0.024     0.043     0.034     0.901     0.097     0.096     0.037
     0.420     0.038     0.381     0.023     0.023     0.041     0.032     0.900     0.095     0.094     0.035
     0.430     0.037     0.382     0.023     0.022     0.040     0.031     0.899     0.092     0.092     0.033
     0.440     0.036     0.383     0.022     0.022     0.039     0.029     0.898     0.090     0.090     0.031
     0.450     0.035     0.384     0.021     0.021     0.038     0.028     0.896     0.087     0.088     0.030
     0.460     0.034     0.385     0.020     0.020     0.037     0.026     0.895     0.085     0.086     0.028
     0.470     0.033     0.387     0.019     0.020     0.036     0.025     0.894     0.083     0.085     0.027
     0.480     0.032     0.388     0.019     0.019     0.035     0.024     0.892     0.081     0.083     0.025
     0.490     0.031     0.389     0.018     0.018     0.034     0.023     0.891     0.079     0.082     0.024
     0.500     0.030     0.391     0.017     0.018     0.033     0.022     0.889     0.077     0.081     0.023
